ID,source text,Arabic translation,category,context,glossary terms used,notes
EL_MainMenuSystemDscNSWGraphicModeGraph,描画解像度を優先します。\nグラフィックを高品質に保ちます。,إعطاء الأولوية لدقة العرض.\nالحفاظ على جودة عالية للرسومات.,menu,,,
EL_MainMenuSystemApplyDialog,変更が適用されていません。\n設定内容を反映しますか？,لم يتم تطبيق التغييرات.\nهل تريد حفظ الإعدادات؟,menu,,,
EL_SaveLoadMenuPlayTime,{HOUR}:{MINUTE}:{SECOND},{HOUR}:{MINUTE}:{SECOND},ui,,,
EL_F0CF2BC2478AF39FF8F1189DFF122504,[B]         : Spawn,[B]: توليد,ui,,,
EL_ArenaFloorRewardRange,{Num:1}～{Num:2},{Num:1} إلى {Num:2},ui,,,
EL_MiniGameSuctionRound,Round {Num} / 2,الجولة {Num} / 2,ui,,,
EL_Age_Sufix,<small>の時代</>,<small>عصر</>,ui,,,
EL_ItemTextBoxGetNumber,{Item}×{Num},{Item} × {Num},ui,,,
EL_A1AD53794B5FCA7A45F37F917BADA94D,TIME<cf>+15,الوقت<cf>+15,ui,,,
EL_ChainDropBonus,Drop\nBonus,مكافأة\nالغنيمة,ui,,,
EL_F3D39E0E4B39CEB651C9AFAD50FD2B12,TIME<cf>+10,الوقت<cf>+10,ui,,,
EL_06C5262F4A8CA8EDCB4B60A67569F40C,TIME<cf>+5,الوقت<cf>+5,ui,,,
EL_48E597014497CCEC265815A6362022E5,TIME<cf>+0,الوقت<cf>+0,ui,,,
EL_GiveItem,{Item}を渡した,تم تسليم {Item},ui,,,
EL_SubQuestType_BountyRace,{0}を{1}体倒す,هزيمة {1} من {0},ui,,,
EL_UseItem,{Item}を使った,تم استخدام {Item},ui,,,
EL_MagicStoneLottery_LotteryTextMulti,{N}個まとめて,{N} دفعة واحدة,ui,,,
EL_SaveLoadMenuSlotIndex,スロット{0},خانة {0},ui,,,
EL_ArenaFloorNumberName,第{0}階層,الطابق {0},ui,,,
EL_ItemTextBoxGetcommon,{Item},{Item},ui,,,
EL_SubQuestType_Bounty,{0}を倒す,هزيمة {0},ui,,,
EL_ItemTextBoxGetMoney,{Num},{Num},ui,,,
EL_MagicStoneLottery_LotteryText,{N}個,{N} من العناصر,ui,,,
EL_88E0BCE849CC4AA7EA98119B3047679A,フェイの魔法レッスン,درس فاي السحري,ui,,"フェイ,魔法",
EL_WPN_SWORD_4_NAME,"聖剣ライトスタッフ
",السيف المقدس عصا الضوء,ui,,"ライトスタッフ,剣",
EL_M03_E08_1000_Title,カーターとマオ,كارتر وماو,ui,,"マオ,カーター",
EL_M05_A3SWD_E01_2000_Title,ミュー族の聖剣,السيف المقدس لعرق ميو,ui,,"ミュー,剣",
EL_M05_E05_1000_Title,魔法の始まり,بداية السحر,ui,,"始まり,魔法",
EL_MainMenu2PErrorController,コントローラーを接続してください,يُرجى توصيل أداة التحكم,menu,,コントローラー,
EL_MainMenuSystemMsgVib_PS5,ワイヤレスコントローラーの振動,اهتزاز أداة التحكم اللاسلكية,menu,,コントローラー,
EL_MainMenuSystemMsgVSyncExp,垂直同期の設定を変更します。,تغيير إعدادات المزامنة العمودية.,menu,,垂直同期,
EL_MainMenuSystemTitleControlSpeaker,コントローラースピーカー設定,إعدادات مكبر صوت أداة التحكم,menu,,コントローラー,
EL_18F84F674E6EF00E1B12D9B9C7FDF43A,コントローラースピーカー,مكبر صوت أداة التحكم,menu,,コントローラー,
EL_MainMenu2PDeviceController_PS5,ワイヤレスコントローラー,أداة التحكم اللاسلكية,menu,,コントローラー,
EL_MainMenuSystemMsgVSyncOffExp,垂直同期を無効にします。,تعطيل المزامنة العمودية.,menu,,垂直同期,
EL_MainMenuSystemMsgVSyncOnExp,垂直同期を有効にします。,تفعيل المزامنة العمودية.,menu,,垂直同期,
EL_CAVE04_SNOW_BOSS_KEY_NAME,ドラゴンピラーの赤鍵,المفتاح الأحمر لعمود التنين,ui,,ドラゴンピラー,
EL_CAVE04_SNOW_KEY_NAME,ドラゴンピラーの青鍵,المفتاح الأزرق لعمود التنين,ui,,ドラゴンピラー,
EL_CAVE05_TREE_BOSS_KEY_NAME,グランドツリーの赤鍵,مفتاح الشجرة العظيمة الأحمر,ui,,グランドツリー,
EL_CAVE05_TREE_KEY_NAME,グランドツリーの青鍵,مفتاح الشجرة العظيمة الأزرق,ui,,グランドツリー,
EL_M05_A2MGC_E03_1000,ディオナと薬師がマオを看病している\nまだ薬を投与する必要がある為、エリオットが素材探しに向かう,ديونا والصيدلاني يعتنيان بماو.\nبما أنه لا يزال هناك حاجة لإعطائها الدواء، يذهب إليوت للبحث عن المواد.,item_description,,"エリオット,マオ,ディオナ",
EL_M06_E18_1400_M050_NPC4229_m,魔石とは、ミュー族が生み出した奇跡……\n叡智たる魔法の賜物だ。,حجر السحر معجزة ابتكرها عرق ميو…\nإنها هبة من السحر المليء بالحكمة.,item_description,,"ミュー,魔法,魔石",
EL_MAGICSTONE_HAMMER_10_DESCRIPTION,"""・<img id=""""RI_ICON_WPN_HAMMER""""/>の必殺技ヒット時、必ずクリティカルが発生\n・<img id=""""RI_ICON_WPN_HAMMER""""/>のチャージ時間が{Num:1}％延長""","""・عند إصابة ضربة قاضية بـ <img id=""""RI_ICON_WPN_HAMMER""""/>، ستحدث دائمًا ضربة حرجة\n・يزداد وقت شحن <img id=""""RI_ICON_WPN_HAMMER""""/> بنسبة {Num:1}٪""",item_description,,"クリティカル,チャージ",
EL_MAGICSTONE_SWORD_08_DESCRIPTION,"""・<img id=""""RI_ICON_WPN_SWORD""""/>のダメージが{Num:1}％上昇\n・ガード時、盾の耐久力が減少しやすくなる""","""・يزداد ضرر <img id=""""RI_ICON_WPN_SWORD""""/> بنسبة {Num:1}٪\n・عند الحظر،يسهل تقليل متانة الدرع""",item_description,,"盾,耐久",
EL_MAGICSTONE_SWORD_15_DESCRIPTION,"""・盾の耐久力が{Num:1}％以上の時、\n　<img id=""""RI_ICON_WPN_SWORD""""/>のダメージが{Num:2}％上昇""","""・عندما تكون متانة الدرع بقيمة {Num:1}٪ أو أكثر،\n يزداد ضرر <img id=""""RI_ICON_WPN_SWORD""""/> بنسبة {Num:2}٪""",item_description,,"盾,耐久",
EL_M05_SA3MGC_E06_1000,聖剣ライトスタッフを入手し、再び白の賢者の元へ戻った主人公\n奥義を授けるに等しい力があるか、試練を与えられる,بعد الحصول على السيف المقدس عصا الضوء، يعود البطل إلى الحكيم الأبيض مجددًا.\nيخضع لاختبار لمعرفة ما إذا كان يمتلك القوة الكافية لتعلم التقنية السرية.,item_description,,"ライトスタッフ,剣",
EL_MAGICSTONE_SWORD_04_DESCRIPTION,"""・<img id=""""RI_ICON_WPN_SWORD""""/>の攻撃ヒット時、盾の耐久力がわずかに回復""","""・عند إصابة هجوم بـ <img id=""""RI_ICON_WPN_SWORD""""/>، تستعاد متانة الدرع بمقدار ضئيل""",item_description,,"盾,耐久",
EL_MAGICSTONE_SWORD_04_DESCRIPTION_3,"""・<img id=""""RI_ICON_WPN_SWORD""""/>の攻撃ヒット時、盾の耐久力がかなり回復""","""・عند إصابة هجوم بـ <img id=""""RI_ICON_WPN_SWORD""""/>،تستعاد متانة الدرع بمقدار كبير""",item_description,,"盾,耐久",
EL_MAGICSTONE_SWORD_04_DESCRIPTION_2,"""・<img id=""""RI_ICON_WPN_SWORD""""/>の攻撃ヒット時、盾の耐久力が少し回復""","""・عند إصابة هجوم بـ <img id=""""RI_ICON_WPN_SWORD""""/>،تستعاد متانة الدرع قليلاً""",item_description,,"盾,耐久",
EL_NPC4224_P010_M020_NPC4224_m,私はミュー族の中でも魔石を扱う職人の一族だった。\n先祖もさぞ、君の功績を喜んでいるだろう。,لقد كنت من عائلة حرفيين يتعاملون مع أحجار السحر بين شعب ميو.\nلا بد أن أسلافي سعداء جدًا بإنجازاتك.,item_description,,"ミュー,魔石",
EL_M05_A2MGC_E02_1000,マオはひどく衰弱しており、薬を飲ませる必要がある\nエリオットは薬の素材を探すことに,ماو ضعيفة للغاية وبحاجة لتناول الدواء.\nيذهب إليوت للبحث عن مكونات الدواء.,item_description,,"エリオット,マオ",
EL_NPC4315_P030_M010_NPC4315_m,さすがエリオットだ。素材調達なんて、朝飯前だな。\n早くユイジーヌに届けてやれよ。,هذا هو إليوت الذي نعرفه. جمع المكونات لعبة أطفال بالنسبة لك.\nأسرع وسلمها إلى يوجين.,item_description,,"エリオット,ユイジーヌ",
EL_Tutorial_MagicStoneShop_01b_1_Text,レベルを上げるとコスト上限が増えて、\nより多くの魔石をセットすることができるぞ！,برفع مستواك،سيزداد الحد الأقصى للتكلفة،\nمما يتيح لك تجهيز المزيد من أحجار السحر!,item_description,,"魔石,レベル",
EL_S04_N29_5000_M100_NPC0010_f,エリオットが教えてくれたレシピ……\nきっと、マオさんも気に入ってくれますよね。,الوصفة التي علمني إياها إليوت…\nأنا متأكدة من أنها ستعجب السيدة ماو أيضًا.,item_description,,"エリオット,マオ",
EL_SPPLAY_BTL_A13_C_M01_NPC0010_f,魔石が手に入りましたね！\nエリオットの可能性がさらに広がりそうです。,لقد حصلنا على حجر السحر!\nيبدو أن آفاقك ستتوسع أكثر يا إليوت.,item_description,,"エリオット,魔石",
EL_MAGICSTONE_SPEAR_07_DESCRIPTION,"""・<img id=""""RI_ICON_LIFE_FULL""""/>が{Num:1}％以上の時、\n　<img id=""""RI_ICON_WPN_SPEAR""""/>のクリティカル発生率が{Num:2}％上昇""","""・عندما تكون <img id=""""RI_ICON_LIFE_FULL""""/> بنسبة {Num:1}٪ أو أكثر،\n تزداد نسبة حدوث الضربة الحرجة لـ <img id=""""RI_ICON_WPN_SPEAR""""/> بنسبة {Num:2}٪""",item_description,,クリティカル,
EL_MAGICSTONE_SWORD_07_DESCRIPTION,"""・<img id=""""RI_ICON_WPN_SWORD""""/>で敵を撃破後、<img id=""""RI_ICON_WPN_SWORD""""/>の次の攻撃で\n　クリティカル発生率が{Num:1}％上昇""","""・بعد هزيمة عدو بـ <img id=""""RI_ICON_WPN_SWORD""""/>، يزداد معدل الضربة الحرجة\n لهجوم <img id=""""RI_ICON_WPN_SWORD""""/> التالي بنسبة {Num:1}٪""",item_description,,クリティカル,
EL_MAGICSTONE_BOW_13_DESCRIPTION,"""・<img id=""""RI_ICON_WPN_BOW""""/>の必殺技のダメージが{Num:1}％上昇\n・<img id=""""RI_ICON_WPN_BOW""""/>のチャージ中、移動できない""","""・يزداد ضرر هجوم القوة لـ <img id=""""RI_ICON_WPN_BOW""""/> بنسبة {Num:1}٪\n・لا يمكن التحرك أثناء شحن <img id=""""RI_ICON_WPN_BOW""""/>""",item_description,,チャージ,
EL_MAGICSTONE_SPEAR_09_DESCRIPTION,"""・他の武器を使用後のわずかな間、\n　<img id=""""RI_ICON_WPN_SPEAR""""/>のチャージ時間が{Num:1}％短縮し、\n　チャージ中の移動速度が{Num:2}％上昇""","""・لفترة وجيزة بعد استخدام أسلحة أخرى،\n يقل وقت شحن <img id=""""RI_ICON_WPN_SPEAR""""/> بنسبة {Num:1}٪،\n وتزداد سرعة الحركة أثناء الشحن بنسبة {Num:2}٪""",item_description,,チャージ,
EL_MAGICSTONE_SPEAR_13_DESCRIPTION,"""・<img id=""""RI_ICON_WPN_SPEAR""""/>を使用後のわずかな間、\n　他の武器のチャージ時間が{Num:1}％短縮し、\n　チャージ中の移動速度が{Num:2}％上昇""","""・لفترة وجيزة بعد استخدام <img id=""""RI_ICON_WPN_SPEAR""""/>،\n يقل وقت شحن الأسلحة الأخرى بنسبة {Num:1}٪،\n وتزداد سرعة الحركة أثناء الشحن بنسبة {Num:2}٪""",item_description,,チャージ,
EL_Tutorial_FairyAbilityGet_01_1_Text,"""『フェイの能力』は、<btn id=""""SupportAction""""/>で使える。\n\n魔力を消費するので注意。\nちなみに『隠れて』をすると回復が早くなるぞ。""","""يمكن استخدام """"قدرة فاي"""" بالضغط على <btn id=""""SupportAction""""/>.\n\nتنبيه، فهذا يستهلك القوة السحرية.\nبالمناسبة، التخفي يسرع من معدل الاستعادة.""",item_description,,フェイ,
EL_MAGICSTONE_HAMMER_15_DESCRIPTION,"""・<img id=""""RI_ICON_WPN_HAMMER""""/>のチャージ中にダメージを受けると、\n　その直後の必殺技のダメージが{Num:1}％上昇""","""・إذا تلقيت ضررًا أثناء شحن <img id=""""RI_ICON_WPN_HAMMER""""/>،\n سيزداد ضرر الهجوم القاضي التالي مباشرة بنسبة {Num:1}٪""",item_description,,チャージ,
EL_MAGICSTONE_CHAIN_08_DESCRIPTION,"""・<img id=""""RI_ICON_WPN_CHAIN""""/>のチャージ中、前方に多数の火の玉が発生\n・火の玉にヒットした敵は{Num:1}％で炎上""","""・أثناء شحن <img id=""""RI_ICON_WPN_CHAIN""""/>، تظهر كرات نارية عديدة في الأمام\n・الأعداء الذين تصيبهم الكرات النارية يحترقون بنسبة احتمال {Num:1}٪""",item_description,,チャージ,
EL_MAGICSTONE_HAMMER_07_DESCRIPTION,"""・<img id=""""RI_ICON_WPN_HAMMER""""/>のチャージ中、ダメージを受けた際の\n　ノックバック距離が{Num:1}％減少""","""・أثناء شحن <img id=""""RI_ICON_WPN_HAMMER""""/>، تقل مسافة الارتداد\n عند تلقي الضرر بنسبة {Num:1}٪""",item_description,,チャージ,
EL_MAGICSTONE_SPEAR_08_DESCRIPTION,"""・体力が{Num:1}％以上の敵に対し、\n　<img id=""""RI_ICON_WPN_SPEAR""""/>のダメージが{Num:2}％上昇""","""・ضد الأعداء الذين لديهم نقاط صحة بنسبة {Num:1}٪ أو أكثر،\n يزداد ضرر <img id=""""RI_ICON_WPN_SPEAR""""/> بنسبة {Num:2}٪""",item_description,,体力,
EL_MAGICSTONE_SWORD_06_DESCRIPTION,"""・体力が{Num:1}％以下の敵に対し、\n　<img id=""""RI_ICON_WPN_SWORD""""/>のダメージが{Num:2}％上昇""","""・ضد الأعداء الذين لديهم نقاط صحة بنسبة {Num:1}٪ أو أقل،\n يزداد ضرر <img id=""""RI_ICON_WPN_SWORD""""/> بنسبة {Num:2}٪""",item_description,,体力,
EL_MAGICSTONE_BOOMERANG_07_DESCRIPTION,"""・気絶中の敵に対し、\n　<img id=""""RI_ICON_WPN_BOOMERANG""""/>のクリティカル発生率が{Num:1}％上昇""","""・ضد الأعداء المغشي عليهم،\n tزداد نسبة حدوث الضربة الحرجة لـ <img id=""""RI_ICON_WPN_BOOMERANG""""/> بنسبة {Num:1}٪""",item_description,,クリティカル,
EL_MAGICSTONE_BOOMERANG_13_DESCRIPTION,"""・<img id=""""RI_ICON_WPN_BOOMERANG""""/>の飛行中、\n　他の武器のクリティカル発生率が{Num:1}％上昇""","""・أثناء تحليق <img id=""""RI_ICON_WPN_BOOMERANG""""/>،\n تزداد نسبة حدوث الضربة الحرجة للأسلحة الأخرى بنسبة {Num:1}٪""",item_description,,クリティカル,
EL_MAGICSTONE_BOOMERANG_02_DESCRIPTION,"""・<img id=""""RI_ICON_WPN_BOOMERANG""""/>による\n　クリティカル発生時のダメージが{Num:1}％上昇""","""・يزداد الضرر الناتج عن الضربات الحرجة\n بواسطة <img id=""""RI_ICON_WPN_BOOMERANG""""/> بنسبة {Num:1}٪""",item_description,,クリティカル,
EL_MAGICSTONE_BOW_08_DESCRIPTION,"""・矢の所持数が{Num:1}本以下の時、\n　<img id=""""RI_ICON_WPN_BOW""""/>の攻撃で必ずクリティカルが発生""","""・عندما يكون عدد السهام المتبقية {Num:1} أو أقل،\n يتسبب هجوم <img id=""""RI_ICON_WPN_BOW""""/> بضربة حرجة مؤكدة دائمًا""",item_description,,クリティカル,
EL_M01_E01_1000,未来のエリオット、妖精フェイを生み出す\n未来のエリオットが時間魔法が発動、フェイは過去の世界へ,إليوت من المستقبل يبتكر الجنية فاي.\nيُفعِّل إليوت من المستقبل سحر الزمن، وتذهب فاي إلى الماضي.,skill_description,,"エリオット,フェイ,魔法",
EL_M02_E11_1000_M080_NPC0020_m,街を囲む城壁は、ただの石だけど、\n加護の魔法によってすごい防御力を発揮するんだ。,الأسوار المحيطة بالمدينة مجرد حجارة عادية،\nولكنها تظهر دفاعًا هائلاً بفضل سحر البركة.,skill_description,,"魔法,加護,防御力",
EL_ACCESSORY_12_DESCRIPTION,"""・復活時、一時的に<img id=""""RI_ICON_BUFF_ATTACK""""/>攻撃力と<img id=""""RI_ICON_BUFF_DEFENSE""""/>防御力が上昇""","""・عند الإحياء، يزداد <img id=""""RI_ICON_BUFF_ATTACK""""/> الهجوم و <img id=""""RI_ICON_BUFF_DEFENSE""""/> الدفاع مؤقتًا""",skill_description,,"攻撃力,防御力",
EL_M02_E01_2000,時の扉をくぐった先は、見覚えのある地形が広がっているが季節が異なるようだ\n時を超えた影響か、姫の回復魔法が以降使用出来なくなる,بعد عبور باب الزمن،تظهر تضاريس مألوفة ولكن يبدو أن الفصول مختلفة.\nربما بسبب عبور الزمن، لم يعد بالإمكان استخدام سحر الشفاء الخاص بالأميرة بعد الآن.,skill_description,,"魔法,時の扉",
EL_Tutorial_GameStart_03_1_Text,"""<btn id=""""Guard""""/>で『ガード』。\n\nしかし盾の『耐久力』が失われていくので注意！""","""<btn id=""""Guard""""/> من أجل """"الحظر"""".\n\nولكن احذر لأن متانة الدرع ستستنزف!""",skill_description,,"盾,耐久",
EL_NPC4312_P010_M030_NPC4312_m,だが、防壁自体に攻撃力があるわけじゃない。\nお守りのような効果のある魔法ってところだな。,ولكن، السور نفسه لا يملك قوة هجومية.\nإنه نوع من السحر الذي يعمل بمثابة تميمة واقية فحسب.,skill_description,,"魔法,攻撃力",
EL_ITEM_ACCESSORIES_01,まがまがしい黒いピアス。<cf>怨念がこもっている。<cf><Em>盾耐久アップ</>,قرط أسود مشؤوم. <cf>مليء بالأحقاد الضغينة. <cf><Em>يزيد متانة الدرع</>,skill_description,,"盾,耐久",
EL_MainMenuSupportAvatorDescLv1,フェイがエリオットの姿と動作を模倣する。\n攻撃時、敵にわずかなダメージを与える。,تقوم فاي بتقليد مظهر وحركات إليوت.\nتتسبب في ضرر طفيف للأعداء عند الهجوم.,skill_description,,"エリオット,フェイ",
EL_NPC3012_P030_M010_NPC3012_f,ディオナが魔法を使えるようになったなんて……\nあの回復魔法……あたたかい光……,لا أصدق أن ديونا أصبحت قادرة على استخدام السحر…\nسحر الشفاء ذاك… نوره دافئ للغاية…,skill_description,,"ディオナ,魔法",
EL_NPC3219_P050_M010_NPC3219_m,ディオナの魔法には驚いたよ。\n回復魔法は、これから村の大きな助けになるだろう。,لقد فاجأني سحر ديونا كثيرًا.\nسحر الشفاء سيكون عونًا كبيرًا للقرية من الآن فصاعدًا.,skill_description,,"ディオナ,魔法",
EL_M06_E04_0100,バケネコに対してダメージを与え続けるエリオット\nバケネコはさらに魔力を強める,يستمر إليوت في إلحاق الضرر بالقطة الوحشية.\nتزيد القطة الوحشية من قوتها السحرية أكثر.,skill_description,,"エリオット,ネコ",
EL_M01_E08_1000_M070_PCM000_m,頼む、ヒューリア！\nこいつに回復の魔法を……！,أرجوكِ يا هيوريا!\nاستخدمي سحر الشفاء عليه…!,skill_description,,"ヒューリア,魔法",
EL_ACCESSORY_5_DESCRIPTION,・盾の耐久力の回復速度が{Num:1}％上昇,・تزداد سرعة استعادة متانة الدرع بنسبة {Num:1}٪,skill_description,,"盾,耐久",
EL_WPN_SWORD_3_DESCRIPTION,・攻撃力{Num:1}\n・聖剣の祝福を得る,・الهجوم {Num:1}\n・الحصول على بركة السيف المقدس,skill_description,,"剣,攻撃力",
EL_ACCESSORY_6_DESCRIPTION,・盾の耐久力が{Num:1}上昇,・تزداد متانة الدرع بمقدار {Num:1},skill_description,,"盾,耐久",
EL_M05_SA2MGC_E07_1000,エリオットは不思議な空間に飛ばされる。そこには三賢者のひとり「タドコロ」がいた\nタドコロはエリオットの記憶を読み、「奥義の書Ⅱ」と鍵を与える,"يُنقل إليوت إلى مساحة غامضة حيث يلتقي بـ ""تادوكورو""، أحد الحكماء الثلاثة.\nيقرأ تادوكورو ذكريات إليوت ويعطيه ""كتاب التقنيات السرية 2"" ومفتاحًا.",skill_description,,エリオット,
EL_Tutorial_SupportPrincess_01_1_Text,"""<btn id=""""SupportAction""""/>で『回復の魔法』。\n\nピンチになったら、すかさず回復してもらおう！""","""<btn id=""""SupportAction""""/> من أجل """"سحر الشفاء"""".\n\nإذا وقعت في مأزق، اطلب الشفاء على الفور!""",skill_description,,魔法,
EL_ITEM_CONTAINER_DEF_DESCRIPTION,"""・一定時間、<img id=""""RI_ICON_BUFF_DEFENSE""""/>防御力が{Num:1}％上昇""","""・يزداد <img id=""""RI_ICON_BUFF_DEFENSE""""/> الدفاع بنسبة {Num:1}٪ لفترة زمنية محددة""",skill_description,,防御力,
EL_ITEM_CONTAINER_ATK_DESCRIPTION,"""・一定時間、<img id=""""RI_ICON_BUFF_ATTACK""""/>攻撃力が{Num:1}％上昇""","""・يزداد <img id=""""RI_ICON_BUFF_ATTACK""""/> الهجوم بنسبة {Num:1}٪ لفترة زمنية محددة""",skill_description,,攻撃力,
EL_ITEM_CONTAINER_HP_4_FLAVOR,回復の薬に、エルダーツリーに芽吹いた小さな息吹を\n投与された逸品。薬師たちの努力により開発された。,جرعة شفاء أُضيفت إليها نفحة من براعم شجرة إيلدر.\nتم تطويرها بفضل جهود الصيادلة.,skill_description,,エルダーツリー,
EL_SCN_0270_FLAVOR,イカロスが旅で出会った人物から託されたという宝石。\n静かな輝きを携えており、持ち主に勇気を与える。,جوهرة قيل إن إيكاروس حصل عليها من شخص التقى به في رحلته.\nتتميز ببريق هادئ وتمنح الشجاعة لحاملها.,skill_description,,イカロス,
EL_NPC4023_P050_M020_NPC4023_m,簡単な回復魔法を、今度教えてもらう約束もしたよ。\n俺も、誰かの傷を治せるようになりたいからさ。,لقد وعدني أيضًا بأن يعلمني سحر شفاء بسيطًا في المرة القادمة.\nفأنا أريد أيضًا أن أكون قادرًا على علاج جروح الآخرين.,skill_description,,魔法,
EL_M05_E07_1000_M040_PCM000_m,いえ、それにしても里の様子は変わりましたね。\n子どもたちが回復の魔法を使っていて驚きました。,ولكن،تغيرت أحوال القرية كثيرًا بالفعل.\nلقد دهشت لرؤية الأطفال يستخدمون سحر الشفاء.,skill_description,,魔法,
EL_NPC2102_P040_M010_NPC2102_m,実は今度、イカロス様――伯父さんの回復を待って、\n筆頭貴族の座を譲り受けることになったんだ。,في الواقع، بعد أن يتعافى السيد إيكاروس — عمي —\nسوف أنوب عنه في منصب النبيل الأول للبلاد.,skill_description,,イカロス,
EL_NPC4005_P070_M010_NPC4005_m,ロウエルの店に新しい回復の薬が入ったみたいだぞ。\nエルダーツリーのつぼみを使っているらしい。,يبدو أن دواء شفاء جديدًا قد وصل إلى متجر لويل.\nسمعت أنه يستخدم براعم شجرة إيلدر.,skill_description,,エルダーツリー,
EL_SCN_0380_FLAVOR,エルダーツリーが咲かせる花のつぼみ。\n食べることで、強い力を手に入れる効果があるようだ。,برعم زهرة تتفتح على شجرة إيلدر.\nيبدو أن تناوله يمنح المرء قوة عظيمة.,skill_description,,エルダーツリー,
EL_NPC2032_P040_M010_NPC2032_f,イカロス様の回復を待って、筆頭貴族の座は\n甥御様へ引き継がれることになるでしょう。,بعد شفاء السيد إيكاروس، سينتقل منصب كبير النبلاء\nإلى ابن أخيه.,skill_description,,イカロス,
EL_NPC1040_P050_M030_NPC1040_m,だから僕は、回復の魔法を覚えたら、\n怪我や病気をしている人を助けようと思うんだ！,ولهذا، عندما أتعلم سحر الشفاء،\nسوف أساعد الجرحى والمرضى!,skill_description,,魔法,
EL_M02_E01_2000_M070_PCM000_m,回復の魔法は頼れないってことか。\n扉を越える前とは、明らかに状況が変わったな。,يعني هذا أننا لا نستطيع الاعتماد على سحر الشفاء.\nالوضع قد تغير تمامًا عما كان عليه قبل عبور البوابة.,skill_description,,魔法,
EL_NPC2031_P080_M010_NPC2031_f,ヒラルダ様の献身的な看病で、ヒルデブラント様は\n少しずつ回復されています。,بفضل رعاية السيدة هيرالدا المخلصة،\nيتعافى السيد هيلدبراند تدريجيًا.,skill_description,,ヒルデブラント,
EL_BA01_N01_2000_Summary,始まりの試練を乗り越えたエリオットは、\nその報酬である至宝を授かる。,بعد اجتياز محنة البداية،\nيُمنح إليوت الكنز الثمين مكافأة له.,quest_description,,"エリオット,始まり",
EL_M03_E08_1000_M050_PCM000_m,俺は冒険家のエリオット。\nファウスタ所長の依頼で君を捜しに来たんだ。,أنا المغامر إليوت.\nلقد جئتُ للبحث عنكِ بناءً على طلب المديرة فاوستا.,quest_description,,"エリオット,ファウスタ",
EL_S03_N11_3000_Explanation,依頼を果たしたエリオットは店主から\n岩を壊すための爆弾を受け取る。,بعد إتمام الطلب، يتلقى إليوت من صاحب المتجر\nقنبلة لتحطيم الصخور.,quest_description,,"エリオット,爆弾",
EL_NPC4320_P010_M010_NPC4320_m,よお、エリオット！　城に呼ばれたって、\n何か特別な依頼でもあったのか？,أهلاً يا إليوت! سمعت أنه تم استدعاؤك إلى القلعة،\nهل هناك مهمة خاصة؟,quest_description,,エリオット,
EL_M01_E07_1000_M170_PCM000_m,……すまない、ヒューリア。\n依頼の途中だけど、助けにいかせてくれ。,...أنا آسف يا هيوريا.\nأنا في منتصف مهمة، لكن دعيني أذهب لإنقاذه.,quest_description,,ヒューリア,
EL_M03_E05_2000_M270_NPC0180_f,そこで、私はカーターに魔力コンパスを預け、\n調査を依頼したんです。,ولهذا، قمت بتسليم البوصلة السحرية لكارتر\nوطلبت منه إجراء التحقيق.,quest_description,,カーター,
EL_M01_E10_1000_M350_NPC0030_m,こほん……エリオットよ。\nもう一つ、余の依頼を受けてもらえぬか？,إحم... يا إليوت.\nهل يمكنك قبول مهمة أخرى من أجلي؟,quest_description,,エリオット,
