ID,source text,Arabic translation,category,context,notes
EL_3D32A73A49D87457A06B19A5DFD38904,Eat,Eat,ui,,
EL_3D3EF3124081FA25CF85D1B4BEC49DCF,プレイヤーアクション,حركات اللاعب,ui,,
EL_3D47D08643E5FCFDDCD5D0817F126C9F,In,In,ui,,
EL_3DE1372B4E9CDB3629A101B4F167EE47,RotateLaserAttack,RotateLaserAttack,ui,,
EL_3E7C589B4E515AB7096358A43275B6F6,Michael Williams,Michael Williams,ui,,
EL_3E8C75A348B02A6E9D6619976B529883,ShiningLariat,ShiningLariat,ui,,
EL_3E92DEA6493BA26654DFE190A1822C1F,Executive Producer,Executive Producer,ui,,
EL_3E9CF69A4EE95D65FE750EB8B5AF1EE9,オン,تشغيل,menu,,
EL_3EDD3A1E4C47C49CF8DE82B7C6058F6E,TentD,TentD,ui,,
EL_3EFDE4D6400690BACEEC0EBE71815C10,Appear,Appear,ui,,
EL_3FD3336A43FAFAF44BFAFEB0D83EA4A6,CatgirlHouse,CatgirlHouse,ui,,
EL_409C500F4B011C742A5187B814BA56C5,EnergyAttack,EnergyAttack,ui,,
EL_40E0B1664985A9F74DEC31B736545D26,かがりの花,زهرة الموقد,ui,,
EL_4103626141301367206271BC87969276,Demo 2 - Use different mask channels,Demo 2 - Use different mask channels,ui,,
EL_4127309D42B4AEFDA76E59B21F9271F3,ChoiceMessageTest,ChoiceMessageTest,ui,,
EL_4218322E4F42FE325EF6929145FC1965,Production Manager,Production Manager,ui,,
EL_42890D1B4F7D5192A1656A9075D81A1E,Size Rate,Size Rate,ui,,
EL_42C04E5A480BFD717C40E3A73416804F,Stagger,Stagger,ui,,
EL_42FD11EC424E174ACEE462BACFC8218E,移動マップを選択,اختر خريطة الانتقال,ui,,
EL_431A45F74902003FFE705DB73D7265B6,カスタム,مخصص,ui,,
EL_43413DC944EE7A7FB46E2A9BD89E4BD0,Emoticon - Think,Emoticon - Think,ui,,
EL_4378A6524453C067A6585C81C534B495,x 5,x 5,ui,,
EL_4395FC824F8B7BBDF934C1A8218FB6AC,ノーマル,عادي,ui,,
EL_45764F984994A3F330D81791BA715330,「くそ…、よくもうちの農園を荒らしやがって…！」<cf>「今後の生活どうすれば良いんだよ…」<cf>「助けてくれたら、良い報酬を渡すぜ」,«سحقًا… كيف تجرؤون على تخريب مزرعتي…!»<cf>«كيف سأتدبر شؤون حياتي من الآن فصاعدًا…»<cf>«إن ساعدتني، فسأمنحك مكافأة مجزية»,quest_description,,
EL_45B143054F321D3B2CCC8B885B54394F,WarpRandom,WarpRandom,ui,,
EL_460EA43C48DB1EA6E54A21911DAEB6EB,Thomas Schmidt,Thomas Schmidt,ui,,
EL_462A64724E752508CDAC4CAEBC090336,IceRainAttack,IceRainAttack,ui,,
EL_466062204F959FBEDA6F77BB7937801A,音量設定,إعدادات مستوى الصوت,menu,,
EL_466F0F9D4DDAB245D605EE888BF586E0,SpecialWarp,SpecialWarp,ui,,
EL_47E5AE0E49E7F55F91E10EA5BEE3F651,TripleAttack,TripleAttack,ui,,
EL_48168E5D4E08434DA53D1AA07B823BE8,Down,Down,ui,,
EL_48E1E9DF45C55FB1FC1772BAABDC8E48,CharaCheck,CharaCheck,ui,,
EL_48E597014497CCEC265815A6362022E5,TIME<cf>+0,الوقت<cf>+0,ui,,
EL_4A2F038E49BA93C68C05319EE5D8FE46,カジュアル,بسيط,ui,,
EL_4A88715149AAA07EEFD0AF9CA8ED1D16,ロングソード,سيف طويل,ui,,
EL_4BEDA34C4E6744E3A2F1CFBBAE1DC74A,MissileAttack,MissileAttack,ui,,
EL_4C89E77642C8D9A28D610EA04A4490DE,Lullaby,Lullaby,ui,,
EL_4D65E53B4ADEFEC5679832A03D8B7942,オン,تشغيل,menu,,
EL_4DB4563C4B86E50F798E088B71637816,ThunderAttack,ThunderAttack,ui,,
EL_4DF663F040F491043C0597BE20F58EA0,WhiteFadeCheck,WhiteFadeCheck,ui,,
EL_4E1D272540F0338C449F1D808173C9AA,Help,Help,ui,,
EL_4ECB6A6649D4B22584AAD2AE21A5EA5E,Gliding,Gliding,ui,,
EL_4EE8604A4D54D3F8D367BA894ED9B95A,BulletAttack_Left,BulletAttack_Left,ui,,
EL_4F3A744B48817ECA8832A6A98BB28B8F,Feint,Feint,ui,,
EL_4FCBF133410170D9877FCCBDB8B065F5,James Smith,James Smith,ui,,
EL_4FDC29374050E59DD43A13BEB5BD9FE9,オン,تشغيل,menu,,
EL_50F6E8074AF06A3A6AD790BC657D6806,チャッカ,تشاكا,ui,,
EL_50F8CA1C48FF7946245BC5BF4279F9C2,オフ,إيقاف,menu,,
EL_51184ACD4C33CF611C8FF18396D549C9,Crash,Crash,ui,,
EL_5158123B4F6E0815E7DF099D57ED94A9,制限,الحد,ui,,
EL_51FFB96F46426517EAABD499A95FEDB6,EventScriptID,EventScriptID,ui,,
EL_522710E6490E14D8777F79909DE1E61F,Interact Check,Interact Check,ui,,
EL_523728E5469389E3EB3E5FA7DF97165A,Agony,Agony,ui,,
EL_527F519D4A0CA03BA15452B0703A9C6B,Boomerang,Boomerang,ui,,
EL_52AAEBD84B7DD7064AEAF4B7870CF066,George Bernard,George Bernard,ui,,
EL_52EAE0D544A2D0AA24BD189F0EAB8DCE,Emoticon - Anger,Emoticon - Anger,ui,,
EL_53055E1A488579DE901AE8AE69DBEC04,ゆっくり,ببطء,ui,,
EL_53B8B1C54135FCC4316112BB436C3097,遺跡の古文書,مخطوطة الأطلال القديمة,ui,,
EL_54E4973E44CAE228477B839EE3B2197D,プレイヤー設定,إعدادات اللاعب,menu,,
EL_550695CE4868C740EB9404A0BF9981B2,Rarelity 1,Rarelity 1,ui,,
EL_5507C6D643FD172775A7F38E8B4404BF,George Bernard,George Bernard,ui,,
EL_554E017D4238D9766CCC849E5ECF1687,GenerateObj,GenerateObj,ui,,
EL_55F407724BEEBDAA65F6218F9C39DDDC,LaserFireStart,LaserFireStart,ui,,
EL_56B7FF72429ECD516D30A885EE7A934A,WarpNormal,WarpNormal,ui,,
EL_56D4080A476D7624F3E142BD2E732791,NPCTalkTest,NPCTalkTest,ui,,
EL_56DB8D144871F55E6412BFA9B621EF79,垂直同期,المزامنة العمودية,menu,,
EL_5715B7BD4D11DB5820C90EB563FE18A7,音量,مستوى الصوت,menu,,
EL_573419904825BA5FA24863A0A6EBA05E,x 5,x 5,ui,,
EL_581D9FA846C9F25B28B77C9E675D7AFB,Left,Left,ui,,
EL_585633724F38D15CCD942A842657BBAD,オン,تشغيل,menu,,
EL_5894D0D24CFB7970885A97BF73296353,Accum,Accum,ui,,
EL_58B3ADD74E90861F25798BB4AA996B3C,Elizabeth Johnson,Elizabeth Johnson,ui,,
EL_58CB643C4CC2A7B1C5626190C2F574E3,CameraShakeCheck,CameraShakeCheck,ui,,
EL_59060EB64415C08E4D00DB9E6C20EA00,レコード数,عدد السجلات,ui,,
EL_59478CB44BDE52A22968B5B5A0D5E030,Creative Department,Creative Department,ui,,
EL_5A329FBA45A1F2744F9B4CA105A366CD,TentA,TentA,ui,,
EL_5A9938464EF2F57F8454E2B082913D24,Emoticon - Inaudible,Emoticon - Inaudible,ui,,
EL_5AE7CE8E47B077E55F450AB4113770CB,振動設定,إعدادات الاهتزاز,menu,,
EL_5AE7DFB949A872A1D9B1F29CD7B670EF,Right,Right,ui,,
EL_5B0E322D41B511CBB25084910177D6EE,垂直同期,المزامنة العمودية,menu,,
EL_5BBFC67845BE01C96CCA9DAC15556743,TentB,TentB,ui,,
EL_5BE9DF4D4BE1DAA93DB229819F1C4E37,決定ボタン,زر التأكيد,menu,,
EL_5C064B204A7DC5517C697E85C48C8F6A,画面の明るさ,سطوع الشاشة,menu,,
EL_5C13F0114B19D6A678C8978BA15C5386,Leave,Leave,ui,,
EL_5CE775134E03B4A40A972F9D9FAA2FC1,RecordFunctionCheck,RecordFunctionCheck,ui,,
EL_5D55523D42994136FC38D28830244317,レンダリング解像度,دقة المعالجة,menu,,
EL_5E1BFB364622BDB595053EB71B7D5BA2,NPCTalkTest,NPCTalkTest,ui,,
EL_5ED1C880488E59C0A39BEAB16D3D7D73,FireLariat,FireLariat,ui,,
EL_5F09E543459107B8FFA50E97E89C2220,カスタム,مخصص,ui,,
EL_5F223E65470783E51E904BAF470ADE8F,テキスト言語,لغة النص,menu,,
EL_5F2E0BF44E6D824817A7DDA41DB8A419,Music Supervisor,Music Supervisor,ui,,
EL_60382316445BE62852928DB0B1444D72,解像度,الدقة,menu,,
EL_61B28C9A475A84AF801ECFB248F90FA3,Emoticon - Like,Emoticon - Like,ui,,
EL_620EFE1F41693222395C0698A2BD2EFE,Down,Down,ui,,
EL_6213AC5846FFF96C262DE289536181BE,Art Director,Art Director,ui,,
EL_629759EC471F2648E8BB8E89716DE5FA,拡張,متقدم,ui,,
EL_62E03B3845427E501C103F90CED908DC,イベントシーン設定,إعدادات مشاهد الأحداث,menu,,
EL_642ADA7540181D20E1E9C5B30B1009B3,ScriptComman Check,ScriptComman Check,ui,,
EL_65FAAF44485554255668C985D92FEDF0,キーボード/マウス,لوحة المفاتيح/الفأرة,ui,,
EL_65FB884A46459309598ECDA2322EB567,持ち上げる,رفع,ui,,
EL_65FCC4AE4D0F9FBBC2CF8EBE03401060,オート再生,تشغيل تلقائي,ui,,
EL_6646BACE46759271F84C7CBAD462DEB1,HouseB,HouseB,ui,,
EL_66677C304128073AA6E434906FF97834,取得順,ترتيب الحصول,ui,,
EL_68972E0A42D7D248C6FF7F9BA5EA15E3,Jennifer Brown,Jennifer Brown,ui,,
EL_69E00DAB4AF4B1709069A9ADABAF3143,ジャンプ,قفز,ui,,
EL_6B7BD1BC48377D07FF2B999B583D1976,Emoticon - Amazed,Emoticon - Amazed,ui,,
EL_6BFF048D40E39F921DB8148C5E365B19,ChoicePatternTest,ChoicePatternTest,ui,,
EL_6CA79EB64CED1E02AD063AB9E317E602,最高,الأعلى,menu,,
EL_6D1C12C84B29A38552651F9C2BB30DEA,LaserAttackAll,LaserAttackAll,ui,,
EL_6DA61CA0499403B33CF9E0BD35D90DFB,EruptionAttack,EruptionAttack,ui,,
EL_6E19B86A4E6EC30DD38A2A8FD012ADF1,BulletAttack_Right,BulletAttack_Right,ui,,
EL_6E83C0DB4DBBB87BF66C0880C6A22DF0,Appear,Appear,ui,,
EL_6E903F704B8D134F41CBF588EA6DB778,Current Time: {0}<cf>Previous Time: {1},الوقت الحالي: {0}<cf>الوقت السابق: {1},ui,,FIT-CHECK [short_arabic: الحاضر: {0}<cf>السابق: {1}]
EL_6EC85BC94957285CB4DFA3A73E5A2CFF,垂直同期,المزامنة العمودية,menu,,
EL_6ECEC860469863DD6E9CCBA70F9E9436,RebirthShells,RebirthShells,ui,,
EL_6EEF0B93407CE335B40253ACB7F34B91,A channel,A channel,ui,,
EL_6F0E94744361A9543B569AB53844D4E5,グラフィック,الرسومات,ui,,
EL_6F3FAC2B4B18602999DD109702882C47,MessageCheck_IgnoreInput,MessageCheck_IgnoreInput,ui,,
EL_6F88D37C46A25CD3071C9498E95E5850,ランク：腕利き,الرتبة: ماهر,ui,,
EL_6F919D6D4FD4761027BD89A0317CDF4C,萌芽の時代,عصر البزوغ,ui,,
EL_6FEC04114B61A5E62EA3348354A61920,設定,الإعدادات,menu,,
EL_6FF352AD46EFF45A30789ABCBA46C7C1,大事なもの,أغراض مهمة,ui,,
EL_70214E7C48466C0999A74998622B502C,BiteAttack,BiteAttack,ui,,
EL_70E667864623860693728C89FC1C444D,Asset,Asset,ui,,
EL_715D14E04DAA65BB6B997C842AE47610,LaserAttackHoming,LaserAttackHoming,ui,,
EL_7173D54A4A088BE8E82E6E9EE208342B,所持数×１,المملوك ×1,ui,,
EL_71DD3D534B0BBA83E03B979FC247F480,ディスプレイモード,وضع العرض,ui,,
EL_7299E4694510DFB7B1BCAC9BC35207F2,薬瓶,قارورة دواء,ui,,
EL_72B65F054D1D11563BD8A9A363702D65,レンダリング解像度,دقة المعالجة,menu,,
EL_7322741D4559797436DF4480770D9737,Demo 3 - Change mask texture and channels at runtime,Demo 3 - Change mask texture and channels at runtime,ui,,
EL_73FF82BF45816EC4833C0FB3FE56D229,垂直同期,المزامنة العمودية,menu,,
EL_7439BB0244FD2B31CEF96B84A4F407C6,オン,تشغيل,menu,,
EL_74413AE74479D6B73ACCD98D7344AF01,Stun,Stun,ui,,
EL_7443D1C0455E25D84DC4CF874048E22D, は  い , نعم ,ui,,
EL_74ACB1504092F429E965E5AFFC77DAB3,難易度,الصعوبة,ui,,
EL_74C0B157482CC4B1DD08DA90F7C31950,SummonScream,SummonScream,ui,,
EL_7512CAF845406775ECE8AE926A5CFFD2,スコア獲得レコード,سجل النقاط المكتسبة,ui,,
EL_7578DD7F4E4EAE4904C5C5813CAB8999,CatgirlHouse,CatgirlHouse,ui,,
EL_761A16BF4EBD2631138E8CA7ADDCEDC8,Appear,Appear,ui,,
EL_768F81A34B03AECD9FCFD39F912943B8,サウンド,الصوت,ui,,
EL_76B5F9E74B93AA905D2C5791BA66B9FC,閉じる,إغلاق,menu,,
EL_76D4E6644F50D024B0F9EDB342A9CFCB,Olivia Martinez,Olivia Martinez,ui,,
EL_7871969C496F1CA62367C59F32280270,Wall,Wall,ui,,
