key,source,target
CharacterName/NPC1019,ابنة العجوز العنيد,
CharacterName/NPC0431,عازف الكلارينيت,
CharacterName/BOS500,غران سلاوغ,
CharacterName/BOS031,آلة الجرذ العظيمة,
CharacterName/NPC0090,غوغيو,
CharacterName/NPC4379,ساندي,
CharacterName/BOS540,زاراس مادرا,
CharacterName/BOS053,الحارسان المتلازمان,
CharacterName/NPC0421,عازف التشيلو,
CharacterName/NPC0120,ديونا,
CharacterName/BOS054,حُرّاس دلتا,
CharacterName/BOS001,ساحر بروق تورين,
CharacterName/BOS000,ساحر رياح تورين,
CharacterName/NPC0410,ناكاتاني,
CharacterName/NPC0430,شقيق ناكاتاني الثالث,
CharacterName/NPC0440,شقيق ناكاتاني الثاني,
CharacterName/NPC0420,شقيق ناكاتاني الأكبر,
CharacterName/NAL000,الراوي,
CharacterName/NAL001,الراوي,
CharacterName/NPC4389,نيك,
CharacterName/NPC0220,مسافر محب للقطط,
CharacterName/NPC0221_00,مسافر محب للقطط,
CharacterName/NPC0222_00,مسافر محب للقطط,
CharacterName/NPC0223,مسافر محب للقطط,
CharacterName/NPC0140,بايكان,
CharacterName/NPC4219,باكانتي,
CharacterName/NPC0230,هيكاردو,
CharacterName/NPC0030,الملك هيكاردو,
CharacterName/NPC0010,الأميرة هيوريا,
CharacterName/NPC0010_01,الأميرة هيوريا,
CharacterName/NPC0010_02,الأميرة هيوريا,
CharacterName/NPC0110,هيوريك,
CharacterName/NPC2119,هيرالدا,
CharacterName/NPC0210,هيلك,
CharacterName/NPC0210_02,هيلك,
CharacterName/NPC1030_00,امرأة تثق بهيلك,
CharacterName/NPC1014_00,امرأة معجبة بهيلك,
CharacterName/NPC1010_00,امرأة تدعم هيلك,
CharacterName/NPC0160,هيلدبراند,
CharacterName/NPC0150,فاوستا,
CharacterName/BOS011,زعيم فروغي الأكبر,
CharacterName/BOS010,زعيم فروغي الشاب,
CharacterName/NPC1008,فرون,
CharacterName/NPC2332_00,باحث ذو كبرياء,
CharacterName/NPC1025_00,صياد متمرس,
CharacterName/NPC0050,ماو,
CharacterName/NPC0060,ماو,
CharacterName/NPC0060_02,ماو,
CharacterName/NPC0060_03,ماو,
CharacterName/NPC0062,ماو,
CharacterName/NPC0063,ماو,
CharacterName/NPC0064,ماو,
CharacterName/BOS530,ماكسيم غارديس,
CharacterName/NPC0180,مارني,
CharacterName/NPC9010,أميرة قبيلة ميو,
CharacterName/NPC0020,يوجين,
CharacterName/BOS030,آلة راتي,
CharacterName/NPC0100,راوي,
CharacterName/NPC0100_02,راوي,
CharacterName/NPC0080,ليودميلا,
CharacterName/NPC0080_02,ليودميلا,
CharacterName/NPC0550,ليودميلا,
CharacterName/NPC8000,ريس,
CharacterName/NPC0240,رايكا,
CharacterName/NPC0250,رايكا,
CharacterName/NPC4019,رولل,
CharacterName/NPC0930,واندرفول,
CharacterName/NPC2337_00,باحث يبدو مستاءً,
CharacterName/NPC3031_00,امرأة ودودة,
CharacterName/NPC2002_00,رجل مطلع,
CharacterName/NPC3022_00,عجوز كان مغامراً,
CharacterName/NPC4010_00,امرأة نشيطة,
CharacterName/NPC4021_00,عجوز نشيط,
CharacterName/NPC4351_00,حرفي نشيط,
CharacterName/NPC1026_00,شاب نشيط,
CharacterName/NPC0441_01,رجل محبط,
CharacterName/NPC0442,رجل محبط,
CharacterName/NPC4999,جندي,
CharacterName/NPC3040_00,فتى يطمح للمغامرة,
CharacterName/NPC4349,المغامر أوليفر,
CharacterName/NPC2322_01,باحث بارد المشاعر,
CharacterName/NPC2321_00,باحث بلا رحمة,
CharacterName/NPC2341_00,باحث هادئ,
CharacterName/NPC4322_00,جندي ذكي,
CharacterName/NPC1050_00,الأخت الكبرى الذكية,
CharacterName/NPC1000_00,محارب القرية الشجاع,
CharacterName/NPC4325_00,جندي مجتهد,
CharacterName/NPC3302_00,حارس البوابة الشمالية,
CharacterName/NPC4003_00,شاب واسع المعرفة,
CharacterName/NPC0630_00,ميو واسع المعرفة,
CharacterName/NPC2331_00,باحث صارم,
CharacterName/NPC1006_00,محارب القرية الصارم,
CharacterName/BOS400,المتمرد كايفرايد,
CharacterName/BOS410_ED01,مشعوذ اللعنة,
CharacterName/NPC4005_00,مغامر خبير بالسلع,
CharacterName/NPC4030_00,عجوز محبة للشائعات,
CharacterName/NPC4002_00,شاب محب للشائعات,
CharacterName/NPC1021_00,حرفي ماهر,
CharacterName/NPC4022_00,عشاب القصر,
CharacterName/NPC4312_00,جندي رصين,
CharacterName/NPC4000_00,شاب رزين,
CharacterName/NPC2040_00,فتى ناضج,
CharacterName/BOS050,حارس السيف العظيم,
CharacterName/BOS510,الزعيم النهم,
CharacterName/BOS051,حارس القوس العظيم,
CharacterName/NPC2150_00,فتاة عفوية,
CharacterName/NPC4330_00,مغامر فضولي جداً,
CharacterName/FYL000,الجنية فاي,
CharacterName/NPC4400,وصيفة مخلصة للأميرة,
CharacterName/NPC4410,وصيفة مخلصة للأميرة,
CharacterName/NPC1007_00,رجل يبحث عن الترفيه,
CharacterName/NPC2312_00,باحث منعزل,
CharacterName/NPC4319,جندي نزيه,
CharacterName/NPC2350_00,باحث صامت,
CharacterName/NPC2032_00,خادم يدير المعروضات,
CharacterName/NPC3320_00,كاتب قصص أطفال متفائل,
CharacterName/NPC4014_00,امرأة محبة للسلام,
CharacterName/NPC0610_00,ميو المحب للسلام,
CharacterName/NPC2121_00,رئيس خدم مسن,
CharacterName/NPC3000_00,شاب واثق,
CharacterName/NPC1003_00,محارب القرية الواثق,
CharacterName/NPC4327_00,جندي أمين,
CharacterName/NPC2100_01,خادم أمين,
CharacterName/NPC4031_00,امرأة قلقة,
CharacterName/NPC4024_00,رجل قلق,
CharacterName/NPC2352_00,باحث قلق,
CharacterName/NPC3030_00,عجوز قلقة,
CharacterName/NPC3000_01,حفيد العجوز القلقة,
CharacterName/NPC2347_00,باحث مستميت,
CharacterName/NPC4310_00,جندي مخلص,
CharacterName/NPC2100_00,خادم مخلص,
CharacterName/NPC4401,وصيفة مرحة,
CharacterName/NPC3002_00,مغامر حكيم,
CharacterName/NPC4229_01,صاحب متجر مريب,
CharacterName/NPC3004_00,شاب بذيء,
CharacterName/NPC4019_01,امرأة حزينة,
CharacterName/NPC2349_00,باحث متشائم,
CharacterName/NPC3020_00,عجوز متشائم,
CharacterName/NPC2010_00,امرأة مطلعة,
CharacterName/NPC2030_00,امرأة مطلعة,
CharacterName/NPC2311_00,باحث طموح,
CharacterName/NPC0650_00,ميو المتأمل,
CharacterName/NPC4023_00,رجل حذر,
CharacterName/NPC2321_01,باحث حذر,
CharacterName/BOS410,الوحش السحري المكروه,
CharacterName/BOS410_ED02,الوحش السحري المكروه,
CharacterName/BOS410_ED03,الوحش السحري المكروه,
CharacterName/BOS411,الوحش السحري المكروه,
CharacterName/NPC2333_00,باحث يقدر النتائج,
CharacterName/NPC2102_00,شاب موهوب,
CharacterName/NPC3200_00,امرأة فضولية,
CharacterName/NPC4324_00,جندي ورع,
CharacterName/NPC4350,مغامر مبتدئ,
CharacterName/NPC2210,تاجر متجول,
CharacterName/NPC2301_00,فني المصعد,
CharacterName/NPC4011_00,امرأة بشوشة,
CharacterName/PCM000_02,إليوت المستقبلي,
CharacterName/NPC3021_00,رجل يقوم بصيانة القرية,
CharacterName/NPC1003_01,محارب القرية المتكبر,
CharacterName/NPC3042_00,فتى يحب الآلات,
CharacterName/NPC3300_00,مغامر صادق,
CharacterName/NPC1024_00,حارس مستودع الأسلحة,
CharacterName/NPC3000_Dead,جثة,
CharacterName/BOS021,أولف ذو مخلب الموت,
CharacterName/NPC4320_00,مغامر ودود,
CharacterName/NPC1040_00,الأخ الأصغر الطيب,
CharacterName/NPC2321_02,باحث طيب,
CharacterName/NPC4029,عجوز طيب,
CharacterName/NPC3219,عشاب طيب,
CharacterName/NPC2120_00,نبيل ذو كبرياء,
CharacterName/NPC0640_00,ميو الراقي,
CharacterName/NPC4340_00,مغامر متردد,
CharacterName/NPC3010_00,امرأة مترددة,
CharacterName/NPC1002_00,شاب متردد,
CharacterName/NPC1012_00,امرأة تبحث عن الترفيه,
CharacterName/NPC4020_00,رجل طيب الخلق,
CharacterName/NPC1001_02,رجل متذمر,
CharacterName/NPC1023_00,رجل متذمر,
CharacterName/BOS020,أولف ذو المخلب الجليدي,
CharacterName/NPC4315_00,مغامر نشيط,
CharacterName/NPC4314_00,جندي ودود,
CharacterName/ENM200,إيليغ الناري,
CharacterName/NPC9000,العنقاء كرايدل,
CharacterName/NPC2320_01,باحث قاسي القلوب,
CharacterName/NPC2342_00,باحث جاف التعامل,
CharacterName/NPC2322_00,باحث عديم الرحمة,
CharacterName/NPC2344_00,باحث يبدو متوتراً,
CharacterName/NPC1011_00,امرأة كئيبة,
CharacterName/NPC0620_00,ميو الهادئ,
CharacterName/NPC2336_00,باحث عقلاني,
CharacterName/NPC3011_00,امرأة شكاكة,
CharacterName/NPC3012_00,امرأة شكاكة,
CharacterName/NPC2343_00,باحث شكاك,
CharacterName/NPC2355_00,باحث مرهق,
CharacterName/NPC4041_00,صبي عليل,
CharacterName/NPC4032_00,أم الصبي المريض,
CharacterName/NPC0510,نويوان، الحكيم الأبيض,
CharacterName/NPC0710,نويوان، الحكيم الأبيض,
CharacterName/NPC2302_00,باحث متحمس,
CharacterName/NPC3001_00,شاب ساخر,
CharacterName/NPC4313_00,جندي جاد,
CharacterName/NPC2310_00,باحث جاد,
CharacterName/NPC2140_00,صبيّ يحلم بأن يصبح باحثًا,
CharacterName/BOS800,تنين الدمار ديمايز,
CharacterName/BOS520,عين إيقاظ الهلاك,
CharacterName/NPC2338_00,باحث قلق,
CharacterName/NPC2335_00,باحث كتوم,
CharacterName/NPC2050_00,فتاة بريئة,
CharacterName/NPC4050_00,فتاة مطيعة,
CharacterName/NPC4040_00,أخ أصغر يحب قصص الأطفال,
CharacterName/NPC2353_00,باحث متوتر,
CharacterName/NPC2320_00,باحث ذكي,
CharacterName/NPC1501_00,حارس ذكي,
CharacterName/NPC4018_00,مغامر ماهر,
CharacterName/NPC4316_00,جندي شاب,
CharacterName/NPC0530,الحكيم البني ساهيكي,
CharacterName/NPC0730,الحكيم البني ساهيكي,
CharacterName/NPC3009,حارس السهول,
CharacterName/NPC1008_01,مستوطن السهول,
CharacterName/NPC2110_00,نبيل وقور,
CharacterName/NPC2357_00,باحث محبط,
CharacterName/NPC3319_00,كاتب قصص أطفال محبط,
CharacterName/NPC3050_00,طفلة تحب الحشرات,
CharacterName/NPC3041_00,فتاة تحب الحشرات,
CharacterName/NPC2305_00,باحث في شؤون البرابرة,
CharacterName/NPC2348_00,باحث نشط,
CharacterName/NPC4221,تاجر متجول (مؤقت),
CharacterName/NPC4222,تاجر متجول (مؤقت),
CharacterName/NPC4223,تاجر متجول (مؤقت),
CharacterName/NPC3304_00,حارس البوابة الغربية,
CharacterName/NPC4326_00,جندي حراسة,
CharacterName/NPC2356_00,باحث حراسة,
CharacterName/NPC3303_00,حارس مراقبة,
CharacterName/NPC4323_00,جندي لطيف,
CharacterName/NPC4004_00,مغامر لطيف,
CharacterName/BOS020_01,عيّنة الأولف رقم ١٣,
CharacterName/BOS040_01,العيّنة التجريبية إليفان رقم ٤,
CharacterName/BOS000_01,العينة الطائرة رقم ٦,
CharacterName/BOS030_01,النموذج التجريبي راتّي رقم ٩,
CharacterName/NPC4321_00,جندي صادق,
CharacterName/NPC3301_00,مغامر مخلص,
CharacterName/NPC4015_00,امرأة تحب القراءة,
CharacterName/NPC4016_00,مغامر يتقصى الألغاز,
CharacterName/NPC3210_00,صاحب متجر ودود,
CharacterName/NPC4311_00,جندي جريء,
CharacterName/NPC2101_00,نبيل حسن المظهر,
CharacterName/NPC2119_01,سيدة حسنة المظهر,
CharacterName/NPC0220_01,مسافر متشبث,
CharacterName/NPC3005_00,شاب هارب,
CharacterName/NPC4210_00,صاحب المتجر,
CharacterName/NPC2320_03,باحث أخلاقي,
CharacterName/NPC3003_00,حفيد صاحبة الحانة,
CharacterName/NPC4200_00,صاحب الحانة,
CharacterName/NPC4012_00,عامل الحانة,
CharacterName/NPC0410_01,عازف الحانة,
CharacterName/NPC0411,عازف الحانة,
CharacterName/NPC4218,امرأة مخمورة,
CharacterName/NPC4219_01,امرأة مخمورة,
CharacterName/NPC0441,عازف القرية,
CharacterName/NPC1009,مساعد زعيم القرية,
CharacterName/NPC2320_02,باحث ذو طموح,
CharacterName/NPC2031_00,وصيفة خدمت طويلاً,
CharacterName/BOS401,كايفرايد كراهية الفجر,
CharacterName/NPC2340_00,باحث مفتون,
CharacterName/NPC1001_00,رجل مرح,
CharacterName/NPC3051,فتاة مبتهجة,
CharacterName/NPC4013_00,أخت كبرى حنونة,
CharacterName/NPC0140_02,رجل ثمل,
CharacterName/NPC2334_00,باحث ثرثار,
CharacterName/NPC2321_03,باحث متكبر,
CharacterName/NPC1020_00,عجوز متحمس,
CharacterName/BOS052,حارس العصا السحرية,
CharacterName/ENM300_01,مخلوق سحري,
CharacterName/NPC4224,صاحب متجر أحجار السحر,
CharacterName/NPC4229,صاحب متجر أحجار السحر,
CharacterName/NPC0520,الحكيم الأسود تادوكورو,
CharacterName/NPC0720,الحكيم الأسود تادوكورو,
CharacterName/BOS410_01,؟ ؟ ؟ ؟,
CharacterName/BOS410_02,؟؟؟؟,
CharacterName/FYL000_01,؟؟؟؟,
CharacterName/NPC0030_01,؟؟؟؟,
CharacterName/NPC0050_01,؟؟؟؟,
CharacterName/NPC0060_01,؟؟؟؟,
CharacterName/NPC0080_01,؟؟؟؟,
CharacterName/NPC0090_01,؟؟؟؟,
CharacterName/NPC0110_01,؟ ؟ ؟ ؟,
CharacterName/NPC0120_01,؟؟؟؟,
CharacterName/NPC0130_01,؟؟؟؟,
CharacterName/NPC0140_01,؟؟؟؟,
CharacterName/NPC0150_01,؟؟؟؟,
CharacterName/NPC0160_01,؟؟؟؟,
CharacterName/NPC0180_01,؟؟؟؟,
CharacterName/NPC0190_01,؟؟؟؟,
CharacterName/NPC0200_01,؟ ؟ ؟ ؟,
CharacterName/NPC0210_01,؟؟؟؟,
CharacterName/NPC0240_01,؟؟؟؟,
CharacterName/NPC0510_01,؟؟؟؟,
CharacterName/NPC0520_01,؟؟؟؟,
CharacterName/NPC0530_01,؟؟؟؟,
CharacterName/NPC2210_01,؟؟؟؟,
CharacterName/NPC4349_01,؟؟؟؟,
CharacterName/NPC9000_01,؟ ؟ ؟ ؟,
CharacterName/NPC9999,؟؟؟؟,
CharacterName/PCM000_01,؟؟؟؟,
CharacterName/PCM000_03,؟؟؟؟,
DebugMenuText/DebugAchievement_SetRevivalRequested,(تحقّق داخلي)المغامر الذي لا يستسلم,
DebugMenuText/DebugAchievement_EventScene_ACH_EVENT_SCENE_5,(تحقّق داخلي)قرية ستزدهر فيها الحكمة يوماً ما,
DebugMenuText/DebugAchievement_SetFairyKillCount,(تحقّق داخلي)الجنّية المجتهدة,
DebugMenuText/DebugAchievement_EventScene_ACH_EVENT_SCENE_4,(تحقّق داخلي)الدرع المُستعاد,
DebugMenuText/DebugAchievement_EventScene_ACH_ENDING_1,(تحقّق داخلي)ما دام هناك أمل ضئيل(ED1),
DebugMenuText/DebugAchievement_EventScene_ACH_ENDING_1_ED3,(تحقّق داخلي)ما دام هناك أمل ضئيل(ED3),
DebugMenuText/DebugAchievement_SetTotalMoney,(تحقّق داخلي)من ملك التول أمِن الهموم,
DebugMenuText/DebugAchievement_SetCatAdopted,(تحقّق داخلي)زيارة القطّ,
DebugMenuText/DebugAchievement_SetWeaponEnemiesKilledCountsHammer,(تحقّق داخلي)خبير المطرقة,
DebugMenuText/DebugAchievement_SetWeaponEnemiesKilledCountsBoomerang,(تحقّق داخلي)خبير البوميرانج,
DebugMenuText/DebugAchievement_SetUseInBottleCount,(تحقّق داخلي)رفيق المغامرة,
DebugMenuText/DebugAchievement_SetMagicStoneCreated,(تحقّق داخلي)أول عملية توليد,
DebugMenuText/DebugAchievement_SetWeaponEnemiesKilledCountsSword,(تحديد داخلي) سيد السيف,
DebugMenuText/DebugAchievement_EventScene_ACH_ENDING_3,(تحقّق داخلي)في نهاية رحلة الألف عام,
DebugMenuText/DebugAchievement_EventScene_ACH_EVENT_SCENE_6,(تحقّق داخلي)وريث سرّ نومُوتوتا,
DebugMenuText/DebugAchievement_EventScene_ACH_ENDING_2,(تحقّق داخلي)سلام برفقة الأميرة(ED2),
DebugMenuText/DebugAchievement_EventScene_ACH_ENDING_2_ED3,(تحقّق داخلي)سلام برفقة الأميرة(ED3),
DebugMenuText/DebugAchievement_SetWeaponEnemiesKilledCountsBow,(تحديد داخلي) سيد القوس,
DebugMenuText/DebugAchievement_SetBarrelsBrokenCount,(تحقّق داخلي)صالح للرمي، صالح للتحطيم,
DebugMenuText/DebugAchievement_EventScene_ACH_EVENT_SCENE_3,(تحقّق داخلي)مملكة بلغت أوج الازدهار,
DebugMenuText/DebugAchievement_SetWeaponEnemiesKilledCountsSpear,(تحديد داخلي) سيد الرمح,
DebugMenuText/DebugAchievement_SetWeaponEnemiesKilledCountsBomb,(تحقّق داخلي)خبير القنابل,
DebugMenuText/DebugAchievement_SetRare5MagicStone,(حكم داخلي) بحثًا عن حجر السحر الأقصى,
DebugMenuText/DebugAchievement_SetHeroTrialCleared,(تحديد داخلي) البطل القرمزي,
DebugMenuText/DebugAchievement_SetGrassCutCount,(تحقّق داخلي)خبير قصّ العشب,
DebugMenuText/DebugAchievement_EventScene_ACH_EVENT_SCENE_2,(تحقّق داخلي)عالم مُدمَّر,
DebugMenuText/DebugAchievement_SetChainAchieved,(تحقّق داخلي)قتال بديع,
DebugMenuText/DebugAchievement_EventScene_ACH_EVENT_SCENE_1,(تحديد داخلي) الباب الغامض,
DebugMenuText/DebugAchievement_SetWeaponEnemiesKilledCountsKusari,(تحقّق داخلي)خبير المنجل المسلسل,
DebugMenuText/DebugDrumroll_VertexOffset,0_إعداد VertexOffset,
DebugMenuText/DebugDrumroll_Enable2nd,تفعيل الثاني,
DebugMenuText/DebugBonus_A9DLOnly,نص أثناء تنزيل A9,
DebugMenuText/DebugBonus_A9All,فتح كل مكافآت A9,
DebugMenuText/EDebugMenuPage_DebugAI,AI,
DebugMenuText/DebugTest_DestroyAppearGimmickAll,آلية الظهور,
DebugMenuText/DebugCollision_Attack,هجوم,
DebugMenuText/DebugSound_SoundDisableBgm,تعطيل الموسيقى,
DebugMenuText/DebugSound_BgmChange,تغيير الموسيقى,
DebugMenuText/DebugTest_DestroyBulletGimmickAll,آلية المقذوفات,
DebugMenuText/DebugCollision_Camera,كاميرا,
DebugMenuText/DebugCamera_CameraAngle,زاوية الكاميرا,
DebugMenuText/DebugCamera_CameraArmLength,طول ذراع الكاميرا,
DebugMenuText/DebugCamera_CameraLagSpeed,سرعة تباطؤ الكاميرا,
DebugMenuText/DebugCamera_CameraZOffset,إزاحة الكاميرا Z,
DebugMenuText/DebugTest_DestroyCarryGimmickAll,آلية الحمل,
DebugMenuText/DebugDrumroll_CurveExp2,إعداد CurveExp2,
DebugMenuText/DebugDrumroll_CurveExp,إعداد منحنى الأس,
DebugMenuText/DebugBonus_DLCTitle1,مكافأة DDX（DLC_TITLE_1）,
DebugMenuText/DebugBonus_DLCAll,فتح جميع إضافات DLC,
DebugMenuText/DebugCollision_Destructible,قابل للتدمير,
DebugMenuText/DebugDrumroll_Distance2,إعداد Distance2,
DebugMenuText/DebugDrumroll_Distance,ضبط المسافة,
DebugMenuText/DebugUI_DropItemLotteryInfo,عرض جدول قُرعة DropItem,
DebugMenuText/DebugCommand_DynamicRes_MinScreenPercentage,أقل نسبة شاشة ديناميكية,
DebugMenuText/DebugCommand_DynamicRes_OperationMode,وضع تشغيل الدقة الديناميكية,
DebugMenuText/DebugBattle_SpawnModeENM500,ENM500 تحديد ظهور حشرة الجواهر,
DebugMenuText/DebugUI_SpawnRateENM500,احتمال ظهور حشرة الجواهر ENM500,
DebugMenuText/DebugBattle_SpawnModeENM600,ENM600 تحديد ظهور ملاك الموت,
DebugMenuText/DebugCamera_EnableDOF,تفعيل عمق المجال,
DebugMenuText/DebugCamera_EnableLag,تفعيل التباطؤ,
DebugMenuText/DebugCommand_ForceLOD,فرض مستوى التفاصيل,
DebugMenuText/DebugCommand_ForceLODShadow,فرض تفاصيل الظل,
DebugMenuText/DebugCommand_enableGDT,مصحح أخطاء أسلوب اللعب,
DebugMenuText/DebugGame_SetGameplaymode,تغيير GameplayMode,
DebugMenuText/DebugTest_DestroyGateGimmickAll,آلية البوابة,
DebugMenuText/DebugTest_DestroyGrassGimmickAll,آلية العشب,
DebugMenuText/DebugUI_DispHUDOutList,عرض HUDOutList,
DebugMenuText/DebugCollision_Handrail,حاجز الحماية,
DebugMenuText/DebugCollision_Hit,إصابة,
DebugMenuText/DebugGame_InputDumpUserSettings,إخراج سجل Input وUserSettings,
