source_term,approved_arabic,category,context,should_translate,notes
エルダーゲート,بوابة إيلدر,location,Elder Gate = باب الزمن (M03),yes,coined M03; consistent with إيلدر/Elder
ツール,تول,currency,currency unit (M03),no,coined M03; transliteration
蛮族,البرابرة,faction,generic savages/barbarians; the Ulv are 蛮族 (M03/M04),yes,standardized over القبائل المتوحشة
ブーストコア,نواة الدفع,item,Boost Core (M04),yes,coined M04
かがりの花,زهرة الموقد,item,Kagari flower (M04),yes,"bonfire(篝)-flower; meaning-based, matches item name EL_SCN_0080_NAME"
ゴギョウ,غوغيو,character_name,"Gogyou, Mao's father (M04)",no,coined M04
萌芽の時代,عصر النشوء,age_name,'Age of Budding' pre-magic era (M05),yes,aligned to M02 establishment (was عصر البزوغ)
バイカン,بايكان,character_name,"Baikan, merchant (M05)",no,coined M05
カロテシア,كاروتيشيا,location,Carotesia place name (M05),no,coined M05
火の鳥,العنقاء,creature,firebird/phoenix divine beast (M05),yes,coined M05; unified with 不死鳥; VERIFY EN
不死鳥山,جبل العنقاء,location,Phoenix Mountain volcano (M05),yes,coined M05; unified phoenix term
北の白楼,برج الشمال الأبيض,location,Northern White Tower (M05),yes,established majority form; fits UI; standardized
カイ,كاي,character_name,"Kai, village/faction leader NPC0200 (M05) — NOT Kaifried",no,coined M05; distinct from كايفرايد
三賢者,الحكماء الثلاثة,lore_term,the Three Sages (M05),yes,coined M05
白銀の鈴,الجرس الفضي,item,Silver Bell heirloom (M05),yes,coined M05
神獣,الوحش الإلهي,creature,divine beast (M05),yes,coined M05
氷結の呪い,لعنة التجميد,term,freeze curse (M05),yes,standardized التجميد (not التجمد)
氷結の封印,ختم التجميد,term,freeze seal (M05),yes,standardized التجميد
封魔の奥義,سرّ ختم الشرّ,lore_term,secret art of sealing evil/the beast (M05),yes,封魔=sealing EVIL not magic; corrected from ختم السحر
ノイーワン,نويوان,character_name,"Noiwan, leader of the Three Sages (M06)",no,coined M06
ウザン,أوزان,character_name,"Uzan, Ichiru's adoptive father, ex-guard captain (M06)",no,coined M06
琥珀のペンダント,القلادة الكهرمانية,item,"amber pendant, royal heirloom (M06)",yes,coined M06
黒の賢者,الحكيم الأسود,character_name,Black Sage (M06),yes,coined M06
白の賢者,الحكيمة البيضاء,character_name,"White Sage NPC0530 (female, M06)",yes,coined M06; female
マギン,ماغين,creature,Magin automaton/golem (side),no,coined side; standardized over مغين/الماغن
魔吸石,حجر امتصاص السحر,item,magic-absorbing stone (side),yes,coined side
サンディ,ساندي,character_name,"Sandy, orphan girl (NPC4379)",no,coined side; FEMALE
バカンテ,باكانتي,character_name,"Bacante, tavern regular",no,coined side
ニック,نيك,character_name,"Nick, orphanage boy (NPC4389)",no,coined side
ナカタニ,ناكاتاني,character_name,"Nakatani, musician (NPC0410)",no,coined side
タドコロ,تادوكورو,character_name,"Tadokoro, Black Sage (NPC0520)",no,coined side
サヘキ,ساهيكي,character_name,"Saheki, Brown/White Sage (NPC0530)",no,coined side
ヒラルダ,هيرالدا,character_name,"Hiralda, Hildebrandt's elder sister",no,coined side; standardized over هيلاردا
フロン,فرون,character_name,"Furon, frontier settler",no,coined side
エレファン族,قبيلة إليفان,faction,Elephan tribe (savages),no,coined side; standardized
ラッティ族,قبيلة راتّي,faction,Ratty tribe (desert savages),no,coined side
トリン族,قبيلة ترين,faction,Trin tribe (savages),no,coined side
リトルホープ,قرية الأمل الصغير,location,Little Hope village (Reconstruction era),yes,coined side; standardized over ليتل هوب
ホワイト・エリア,المنطقة البيضاء,location,"White Area (snowfield, Ulv land)",yes,coined side
ウエスト・エリア,المنطقة الغربية,location,West Area (swamp),yes,coined side
ネバ・ウィザー,نيفا ويذر,location,Neva Wither (forest region),no,coined side; standardized
エッダ・トレイル,درب إيدا,location,Edda Trail (desert),yes,coined side
エレッグ,إيليغ,creature,Eleg fire creature,no,coined side
パミル茸,فطر باميل,item,Pamil mushroom,yes,coined side
ワンダフル,وندرفول,item,'Wonderful' toy automaton,no,coined side; standardized
