id,ftext_key,original_text,category,confidence
EL_BOS030_Death_Title,BOS030_Death_Title,[開発用]ネズミ族（通常）死亡,unknown,high
EL_BOS030_Last_Appear_Title,BOS030_Last_Appear_Title,[開発用]ネズミ族（バケネコ戦前）登場,unknown,high
EL_BOS030_Last_Death_Title,BOS030_Last_Death_Title,[開発用]ネズミ族（バケネコ戦前）死亡,unknown,high
EL_BOS031_Appear_Title,BOS031_Appear_Title,[開発用]ネズミ族（強化）登場,unknown,high
EL_BOS031_Death_Title,BOS031_Death_Title,[開発用]ネズミ族（強化）死亡,unknown,high
EL_BOS031,BOS031,グレート・ラッティ・マシーン,unknown,high
EL_BOS040_Appear_Title,BOS040_Appear_Title,[開発用]ゾウ族（通常）登場,unknown,high
EL_BOS040_Death_Title,BOS040_Death_Title,[開発用]ゾウ族（通常）死亡,unknown,high
EL_BOS040_Last_Appear_Title,BOS040_Last_Appear_Title,[開発用]ゾウ族（バケネコ戦前）登場,unknown,high
EL_BOS040_Last_Death_Title,BOS040_Last_Death_Title,[開発用]ゾウ族（バケネコ戦前）死亡,unknown,high
EL_BOS041_Appear_Title,BOS041_Appear_Title,[開発用]ゾウ族（強化）登場,unknown,high
EL_BOS041_Death_Title,BOS041_Death_Title,[開発用]ゾウ族（強化）死亡,unknown,high
EL_BOS050_051_Appear_Title,BOS050_051_Appear_Title,[開発用]ゲートキーパー（剣）（弓）登場,unknown,high
EL_BOS050_Appear_Title,BOS050_Appear_Title,[開発用]ゲートキーパー（剣）登場,unknown,high
EL_BOS051_Appear_Title,BOS051_Appear_Title,[開発用]ゲートキーパー（弓）登場,unknown,high
EL_BOS053,BOS053,タッグ・ガーディアンズ,unknown,high
EL_BOS054,BOS054,デルタ・ガーディアンズ,unknown,high
EL_BOS400_Arena_Appear_Title,BOS400_Arena_Appear_Title,[開発用]大臣（アリーナ）登場,unknown,high
EL_BOS400_Arena_Death_Title,BOS400_Arena_Death_Title,[開発用]大臣（アリーナ）死亡,unknown,high
EL_BOS401,BOS401,開闢の憎悪カイフリード,unknown,high
EL_BOS410_Arena_Appear_Title,BOS410_Arena_Appear_Title,[開発用]憎悪の魔獣（アリーナ）登場,unknown,high
EL_BOS410_Arena_Death_Title,BOS410_Arena_Death_Title,[開発用]憎悪の魔獣（アリーナ）死亡,unknown,high
EL_BOS500_Appear_Title,BOS500_Appear_Title,[開発用]森林大ボス - 登場演出,unknown,high
EL_BOS500_Death_Title,BOS500_Death_Title,[開発用]森林大ボス - 死亡演出,unknown,high
EL_BOS510_Appear_Title,BOS510_Appear_Title,[開発用]湿地大ボス - 登場演出,unknown,high
EL_BOS510_Death_Title,BOS510_Death_Title,[開発用]湿地大ボス - 死亡演出,unknown,high
EL_BOS520_Appear_Title,BOS520_Appear_Title,[開発用]雪山大ボス - 登場演出,unknown,high
EL_BOS520_Death_Title,BOS520_Death_Title,[開発用]雪山大ボス - 死亡演出,unknown,high
EL_BOS530_Appear_Title,BOS530_Appear_Title,[開発用]砂漠大ボス - 登場演出,unknown,high
EL_BOS530_Death_Title,BOS530_Death_Title,[開発用]砂漠大ボス - 死亡演出,unknown,high
EL_BOS540_Appear_Title,BOS540_Appear_Title,[開発用]火山大ボス - 登場演出,unknown,high
EL_BOS540_Death_Title,BOS540_Death_Title,[開発用]火山大ボス - 死亡演出,unknown,high
EL_C671B2A74BC0564242197787C9B4BB24,C671B2A74BC0564242197787C9B4BB24,はじまりの試練　最終階層,unknown,high
EL_CatFriendship_1,CatFriendship_1,まだ警戒されているようだ,unknown,high
EL_CatFriendship_2,CatFriendship_2,心を開き始めてくれたようだ,unknown,high
EL_CatFriendship_3,CatFriendship_3,すっかり打ち解けてくれたようだ,unknown,high
EL_CatFriendship_4,CatFriendship_4,さらに親交を深められそうだ,unknown,high
EL_CatFriendship_5,CatFriendship_5,最高の友だと認められた,unknown,high
EL_CatFullnessHalf,CatFullnessHalf,まだ食べ足りないようだ,unknown,high
EL_CatInviteInfo,CatInviteInfo,ネコにとても気に入られたようだ,unknown,high
EL_CatPlayingToyYet,CatPlayingToyYet,おもちゃに夢中のようだ,unknown,high
EL_CatReturnTown,CatReturnTown,ネコは街に戻ったようだ,unknown,high
EL_CatToyNothing,CatToyNothing,おもちゃを持っていない,unknown,high
EL_CheckBookshelf,CheckBookshelf,なにも見つからなかった,unknown,high
EL_CompassMsgCatGetAll,CompassMsgCatGetAll,すべてのネコは保護された,unknown,high
EL_CompassMsgWeaponGetAll,CompassMsgWeaponGetAll,もう{Item}が示す物はない,unknown,high
EL_D645A3EC48F3469DCEE05EB23BDE532C,D645A3EC48F3469DCEE05EB23BDE532C,魔法の時代のタイムゲートダンジョンへ向かおう,unknown,high
EL_DDE1C84547A777190C94FBAE955590B4,DDE1C84547A777190C94FBAE955590B4,武器Lv.1サーチの針,unknown,high
EL_DebugAchievement_EventScene_ACH_ENDING_1_ED3,DebugAchievement_EventScene_ACH_ENDING_1_ED3,(内部判定)わずかな望みがある限り(ED3),unknown,high
EL_DebugAchievement_EventScene_ACH_ENDING_1,DebugAchievement_EventScene_ACH_ENDING_1,(内部判定)わずかな望みがある限り(ED1),unknown,high
EL_DebugAchievement_EventScene_ACH_ENDING_2_ED3,DebugAchievement_EventScene_ACH_ENDING_2_ED3,(内部判定)姫と歩む平穏(ED3),unknown,high
EL_DebugAchievement_EventScene_ACH_ENDING_2,DebugAchievement_EventScene_ACH_ENDING_2,(内部判定)姫と歩む平穏(ED2),unknown,high
EL_DebugAchievement_EventScene_ACH_ENDING_3,DebugAchievement_EventScene_ACH_ENDING_3,(内部判定)千年の旅路の果てに,unknown,high
EL_DebugAchievement_EventScene_ACH_EVENT_SCENE_2,DebugAchievement_EventScene_ACH_EVENT_SCENE_2,(内部判定)荒廃した世界,unknown,high
EL_DebugAchievement_EventScene_ACH_EVENT_SCENE_3,DebugAchievement_EventScene_ACH_EVENT_SCENE_3,(内部判定)栄華を極めし国,unknown,high
EL_DebugAchievement_EventScene_ACH_EVENT_SCENE_4,DebugAchievement_EventScene_ACH_EVENT_SCENE_4,(内部判定)よみがえる盾,unknown,high
EL_DebugAchievement_EventScene_ACH_EVENT_SCENE_5,DebugAchievement_EventScene_ACH_EVENT_SCENE_5,(内部判定)いつか叡智が芽吹きし里,unknown,high
EL_DebugAchievement_EventScene_ACH_EVENT_SCENE_6,DebugAchievement_EventScene_ACH_EVENT_SCENE_6,(内部判定)奥義ノムトウタの継承者,unknown,high
EL_DebugAchievement_SetAllCatsRescued,DebugAchievement_SetAllCatsRescued,猫の保護数（現在+引き継ぎ含む送信する数）,unknown,high
EL_DebugAchievement_SetAllCatsRescuedCountNow,DebugAchievement_SetAllCatsRescuedCountNow,猫の保護数（現在の週のみ）,unknown,high
EL_DebugAchievement_SetAllCatsRescuedNewGamePlus,DebugAchievement_SetAllCatsRescuedNewGamePlus,猫の保護数（引き継ぎのみ）,unknown,high
EL_DebugAchievement_SetBarrelsBrokenCount,DebugAchievement_SetBarrelsBrokenCount,(内部判定)投げてよし、壊してよし,unknown,high
EL_DebugAchievement_SetCatAdopted,DebugAchievement_SetCatAdopted,(内部判定)ネコちゃんのご訪問,unknown,high
EL_DebugAchievement_SetChainAchieved,DebugAchievement_SetChainAchieved,(内部判定)華麗なる戦い,unknown,high
EL_DebugAchievement_SetFairyKillCount,DebugAchievement_SetFairyKillCount,(内部判定)がんばる妖精,unknown,high
EL_DebugAchievement_SetGrassCutCount,DebugAchievement_SetGrassCutCount,(内部判定)草刈りの名人,unknown,high
EL_DebugAchievement_SetMagicStoneCreated,DebugAchievement_SetMagicStoneCreated,(内部判定)初めての生成,unknown,high
EL_DebugAchievement_SetRevivalRequested,DebugAchievement_SetRevivalRequested,(内部判定)あきらめない冒険家,unknown,high
EL_DebugAchievement_SetTotalMoney,DebugAchievement_SetTotalMoney,(内部判定)ツールあれば憂いなし,unknown,high
EL_DebugAchievement_SetUseInBottleCount,DebugAchievement_SetUseInBottleCount,(内部判定)冒険のお供に,unknown,high
EL_DebugAchievement_SetWeaponEnemiesKilledCountsBomb,DebugAchievement_SetWeaponEnemiesKilledCountsBomb,(内部判定)爆弾の達人,unknown,high
EL_DebugAchievement_SetWeaponEnemiesKilledCountsBoomerang,DebugAchievement_SetWeaponEnemiesKilledCountsBoomerang,(内部判定)ブーメランの達人,unknown,high
EL_DebugAchievement_SetWeaponEnemiesKilledCountsHammer,DebugAchievement_SetWeaponEnemiesKilledCountsHammer,(内部判定)ハンマーの達人,unknown,high
EL_DebugAchievement_SetWeaponEnemiesKilledCountsKusari,DebugAchievement_SetWeaponEnemiesKilledCountsKusari,(内部判定)鎖鎌の達人,unknown,high
EL_DebugAI_FieldDisableEnemyAI,DebugAI_FieldDisableEnemyAI,フィールドAI停止、敵,unknown,high
EL_DebugAI_LockNavegationBuild,DebugAI_LockNavegationBuild,NavgationBuildを一時停止,unknown,high
EL_DebugArena_AutoFloorClearFlagTrue,DebugArena_AutoFloorClearFlagTrue,フロアの自動クリア用フラグをON,unknown,high
EL_DebugArena_AutoFloorClearModeFlagFalse,DebugArena_AutoFloorClearModeFlagFalse,自動フロアクリア持続用フラグをOFF,unknown,high
EL_DebugArena_AutoFloorClearModeFlagTrue,DebugArena_AutoFloorClearModeFlagTrue,自動フロアクリア持続用フラグをON,unknown,high
EL_DebugArena_CursorAnimFlagAllFalse,DebugArena_CursorAnimFlagAllFalse,解放アニメフラグを全部OFFにする,unknown,high
EL_DebugArena_CursorAnimFlagAllTrue,DebugArena_CursorAnimFlagAllTrue,解放アニメフラグを全部ONにする,unknown,high
EL_DebugArena_ExitArena,DebugArena_ExitArena,アリーナモードを解除する,unknown,high
EL_DebugArena_LockFlagAllFalse,DebugArena_LockFlagAllFalse,解放判定フラグを全部OFFにする,unknown,high
EL_DebugArena_LockFlagAllTrue,DebugArena_LockFlagAllTrue,解放判定フラグを全部ONにする,unknown,high
EL_DebugBattle_EnemyRespawnNoWait,DebugBattle_EnemyRespawnNoWait,敵のリスポーン待ち無し,unknown,high
EL_DebugBonus_A9Title4,DebugBonus_A9Title4,バリアスデイライフ（A9_TITLE_4）,unknown,high
EL_DebugBonus_DLCTitle1,DebugBonus_DLCTitle1,DDX特典（DLC_TITLE_1）,unknown,high
EL_DebugBonus_DLCTitle2,DebugBonus_DLCTitle2,予約特典（DLC_TITLE_2）,unknown,high
EL_DebugCharacter_CastShadowNPC,DebugCharacter_CastShadowNPC,キャストシャドウ：ＮＰＣ,unknown,high
EL_DebugCharacter_CastShadowPlayer,DebugCharacter_CastShadowPlayer,キャストシャドウ：プレイヤー,unknown,high
EL_DebugCollision_DisableClipGimmickCtrl,DebugCollision_DisableClipGimmickCtrl,PC周辺のコリジョン制御を無効化,unknown,high
EL_DebugFairyMiniGame_ForceStopDashWall,DebugFairyMiniGame_ForceStopDashWall,強制雪崩停止(ダッシュ用),unknown,high
EL_DebugForcedTrophy_ACH_BARRELS_BROKEN,DebugForcedTrophy_ACH_BARRELS_BROKEN,投げてよし、壊してよし,unknown,high
EL_DebugForcedTrophy_ACH_ENDING_1,DebugForcedTrophy_ACH_ENDING_1,わずかな望みがある限り,unknown,high
EL_DebugForcedTrophy_ACH_EVENT_SCENE_5,DebugForcedTrophy_ACH_EVENT_SCENE_5,いつか叡智が芽吹きし里,unknown,high
EL_DebugForcedTrophy_ACH_EVENT_SCENE_6,DebugForcedTrophy_ACH_EVENT_SCENE_6,奥義ノムトウタの継承者,unknown,high
EL_DebugGame_AutoMemoryViewer,DebugGame_AutoMemoryViewer,記憶メニューの半自動再生,unknown,high
EL_DebugGame_EditMoney,DebugGame_EditMoney,所持金変更(L2/R2 ±100),unknown,high
EL_DebugGame_InputWriteCsvMappings,DebugGame_InputWriteCsvMappings,Input、マッピングのcsv出力,unknown,high
EL_DebugGame_SetGameplaymode,DebugGame_SetGameplaymode,GameplayModeの変更,unknown,high
EL_DebugGame_ShownNewGamePlusFoundMessage,DebugGame_ShownNewGamePlusFoundMessage,NewGamePlus解放ダイアログ表示,unknown,high
EL_DebugGame_UnlockMemoryViewerAll,DebugGame_UnlockMemoryViewerAll,記憶メニューのリスト全開放,unknown,high
EL_DebugGuardEvent_CarterHP,DebugGuardEvent_CarterHP,カーターHP変更(L2/R2 ±10),unknown,high
EL_DebugHUD_TelemetryOnConnected,DebugHUD_TelemetryOnConnected,テレメトリON：サーバ接続中,unknown,high
EL_DebugHUD_TelemetryOnUnconnected,DebugHUD_TelemetryOnUnconnected,テレメトリON:サーバ未接続,unknown,high
EL_DebugLevel_GimmickFlagDrawDistance,DebugLevel_GimmickFlagDrawDistance,ギミックの状態の表示距離,unknown,high
EL_DebugLevel_PauseWorldCompositionUpdate,DebugLevel_PauseWorldCompositionUpdate,WorldComposition一時停止,unknown,high
EL_DebugLevel_ResetAllGimmick,DebugLevel_ResetAllGimmick,ギミックのRESET_ALL実行,unknown,high
EL_DebugLevel_RestartPosition,DebugLevel_RestartPosition,プレイヤースタートへ移動,unknown,high
EL_DebugLevel_ShowIceBlockStatus,DebugLevel_ShowIceBlockStatus,氷ブロックの挙動デバッグ表示,unknown,high
EL_DebugMapMenu_FullOpenFastTravelPoint,DebugMapMenu_FullOpenFastTravelPoint,ファストトラベルポイント全開放,unknown,high
EL_DebugMapMenu_FullOpenMapMask,DebugMapMenu_FullOpenMapMask,フィールドマップマスク全解放,unknown,high
EL_DebugMapMenu_FullResetMapMask,DebugMapMenu_FullResetMapMask,フィールドマップマスク全リセット,unknown,high
EL_DebugMapMenu_OpenCurrentMapMask,DebugMapMenu_OpenCurrentMapMask,現在マップのマスク解放,unknown,high
EL_DebugMapMenu_ResetCurrentMapMask,DebugMapMenu_ResetCurrentMapMask,現在マップのマスクリセット,unknown,high
EL_DebugPlayer_PlayerHp,DebugPlayer_PlayerHp,ヒットポイント（現在値）,unknown,high
EL_DebugPlayer_PlayerSprintAnimRate,DebugPlayer_PlayerSprintAnimRate,ダッシュモードアニメ倍率,unknown,high
EL_DebugSound_SoundPlayingList,DebugSound_SoundPlayingList,再生中サウンドのリスト表示,unknown,high
EL_DebugSound_TestAmbience,DebugSound_TestAmbience,サウンドテスト AMBIENCE,unknown,high
EL_DebugSound_TestBgm,DebugSound_TestBgm,サウンドテスト BGM,unknown,high
EL_DebugSound_TestCatVoice,DebugSound_TestCatVoice,サウンドテスト CAT_VOICE,unknown,high
EL_DebugSound_TestVoice,DebugSound_TestVoice,サウンドテスト VOICE,unknown,high
EL_DebugSound_VolumeMaster,DebugSound_VolumeMaster,ボリューム、Master,unknown,high
EL_DebugSound_VolumeVoice,DebugSound_VolumeVoice,ボリューム、VOICE,unknown,high
EL_DebugSupport_ClearUsedSupMsg,DebugSupport_ClearUsedSupMsg,サポート会話表示履歴をクリア,unknown,high
EL_DebugSupport_SupportCooldownTimeZero,DebugSupport_SupportCooldownTimeZero,サポートアクション無制限,unknown,high
EL_DebugSystem_ChangeNewGamePlus,DebugSystem_ChangeNewGamePlus,NewGame+をタイトル画面で表示する,unknown,high
EL_DebugSystem_ChangeTrialMode,DebugSystem_ChangeTrialMode,体験版モードに切り替える,unknown,high
EL_DebugSystem_DisableAllUIDisplays,DebugSystem_DisableAllUIDisplays,UI表示を全て無効化する,unknown,high
EL_DebugSystem_DisableCPUBoost,DebugSystem_DisableCPUBoost,【Switch2】CPU Boost無効,unknown,high
EL_DebugSystem_DisableEventScriptDecoder,DebugSystem_DisableEventScriptDecoder,全てのスクリプトを実行しなくする,unknown,high
EL_DebugSystem_DisableFadeMask,DebugSystem_DisableFadeMask,画面フェードを無効化する,unknown,high
EL_DebugSystem_HideAllButtonIcons,DebugSystem_HideAllButtonIcons,UIボタン表示を全て非表示化する,unknown,high
EL_DebugSystem_PutEventScriptTraceLog,DebugSystem_PutEventScriptTraceLog,イベントスクリプトのトレースログ出力,unknown,high
EL_DebugTelemetry_SendSurveyFlag,DebugTelemetry_SendSurveyFlag,アンケート送信済みフラグ,unknown,high
EL_DebugTest_DestroyEnemyAll,DebugTest_DestroyEnemyAll,全EnemyをDestoryする,unknown,high
EL_DebugTest_DestroyGimmickAll,DebugTest_DestroyGimmickAll,全GimmickをDestoryする,unknown,high
EL_DebugTest_DestroyNpcAll,DebugTest_DestroyNpcAll,全NPCをDestoryする,unknown,high
EL_DebugTest_DestroyNpcSpawnerAll,DebugTest_DestroyNpcSpawnerAll,全NpcSpawnerをDestoryする,unknown,high
EL_DebugTest_NotifyGimmick,DebugTest_NotifyGimmick,全ギミックに通知を送る,unknown,high
EL_DebugTowerDefence_BarricadeHP,DebugTowerDefence_BarricadeHP,バリケードHP変更(L2/R2 ±10),unknown,high
EL_DebugTowerDefence_HeurichHP,DebugTowerDefence_HeurichHP,ヒューリックHP変更(L2/R2 ±10),unknown,high
EL_DebugUI_DispChainCountOnlyLvUP,DebugUI_DispChainCountOnlyLvUP,継戦カウンターをレベル上昇時のみ表示,unknown,high
EL_DebugUI_DispDebugEventInfo,DebugUI_DispDebugEventInfo,シーケンサ再生時にイベントIDを表示,unknown,high
EL_DebugUI_DispHUDOutList,DebugUI_DispHUDOutList,HUDOutListを表示,unknown,high
EL_DebugUI_DropItemLotteryInfo,DebugUI_DropItemLotteryInfo,DropItem抽選テーブルの表示,unknown,high
EL_DebugUI_HideDebugInfo,DebugUI_HideDebugInfo,デバッグ情報を画面に表示しない,unknown,high
EL_DebugUMG_SoundGallery,DebugUMG_SoundGallery,サウンドギャラリーテスト,unknown,high
EL_DebugUMG_StoryViewer,DebugUMG_StoryViewer,ストーリービューア（デバッグ）,unknown,high
EL_DNG_ARENA_EXPERT_01,DNG_ARENA_EXPERT_01,腕利きの試練　第１階層,unknown,high
EL_DNG_ARENA_EXPERT_02,DNG_ARENA_EXPERT_02,腕利きの試練　第２階層,unknown,high
EL_DNG_ARENA_EXPERT_03,DNG_ARENA_EXPERT_03,腕利きの試練　第３階層,unknown,high
EL_DNG_ARENA_EXPERT_04,DNG_ARENA_EXPERT_04,腕利きの試練　第４階層,unknown,high
EL_DNG_ARENA_EXPERT_05,DNG_ARENA_EXPERT_05,腕利きの試練　第５階層,unknown,high
EL_DNG_ARENA_EXPERT_06,DNG_ARENA_EXPERT_06,腕利きの試練　第６階層,unknown,high
EL_DNG_ARENA_EXPERT_07,DNG_ARENA_EXPERT_07,腕利きの試練　第７階層,unknown,high
EL_DNG_ARENA_EXPERT_08,DNG_ARENA_EXPERT_08,腕利きの試練　最終階層,unknown,high
EL_DNG_ARENA_LEGEND_10,DNG_ARENA_LEGEND_10,勇者の試練　第１０階層,unknown,high
EL_DNG_ARENA_LEGEND_11,DNG_ARENA_LEGEND_11,勇者の試練　第１１階層,unknown,high
EL_DNG_ARENA_NEWBIE_01,DNG_ARENA_NEWBIE_01,始まりの試練　第１階層,unknown,high
EL_DNG_ARENA_NEWBIE_02,DNG_ARENA_NEWBIE_02,始まりの試練　第２階層,unknown,high
EL_DNG_ARENA_NEWBIE_03,DNG_ARENA_NEWBIE_03,始まりの試練　第３階層,unknown,high
EL_DNG_ARENA_NEWBIE_04,DNG_ARENA_NEWBIE_04,始まりの試練　第４階層,unknown,high
EL_DNG_ARENA_NEWBIE_05,DNG_ARENA_NEWBIE_05,始まりの試練　最終階層,unknown,high
EL_DNG_CAVE04_SNOW_A1_B1,DNG_CAVE04_SNOW_A1_B1,ドラゴンピラー　地下１階,unknown,high
EL_DNG_CAVE04_SNOW_A1_B2,DNG_CAVE04_SNOW_A1_B2,ドラゴンピラー　地下２階,unknown,high
EL_DNG_CAVE04_SNOW_A1_B3,DNG_CAVE04_SNOW_A1_B3,ドラゴンピラー　地下３階,unknown,high
EL_DNG_CAVE04_SNOW_A1_B4,DNG_CAVE04_SNOW_A1_B4,ドラゴンピラー　最深部,unknown,high
EL_DNG_CAVE04_SNOW_A2_B1,DNG_CAVE04_SNOW_A2_B1,ドラゴンピラー　地下１階,unknown,high
EL_DNG_CAVE04_SNOW_A3_B1,DNG_CAVE04_SNOW_A3_B1,ドラゴンピラー　地下１階,unknown,high
EL_DNG_CAVE04_SNOW_A3_B2,DNG_CAVE04_SNOW_A3_B2,ドラゴンピラー　地下２階,unknown,high
EL_DNG_CAVE04_SNOW_A3_B3,DNG_CAVE04_SNOW_A3_B3,ドラゴンピラー　地下３階,unknown,high
EL_DNG_CAVE04_SNOW_A4_B1,DNG_CAVE04_SNOW_A4_B1,ドラゴンピラー　地下１階,unknown,high
EL_DNG_CAVE04_SNOW_A4_B2,DNG_CAVE04_SNOW_A4_B2,ドラゴンピラー　地下２階,unknown,high
EL_DNG_CAVE05_TREE_A1_4F,DNG_CAVE05_TREE_A1_4F,グランドツリー　最上階,unknown,high
