id,ftext_key,category,source_text,arabic_translation,notes,placeholders
EL_54DE17FD46F54A57A3677ABDE734E5C3,54DE17FD46F54A57A3677ABDE734E5C3,item_name,装備,التجهيزات,,[]
EL_565B15124F1B408915741A8FD141EF07,565B15124F1B408915741A8FD141EF07,item_name,装備中の魔石,حجر السحر المجهَّز,,[]
EL_575788FF406130120EB223BB2593FD84,575788FF406130120EB223BB2593FD84,skill_name,アビリティ,القدرات,,[]
EL_5BAB103B4AF6EF4CE3A5F68B0D6AC329,5BAB103B4AF6EF4CE3A5F68B0D6AC329,quest_title,クエスト状況確認,مراجعة حالة المهمة,,[]
EL_5E83356B4FAE046DB4F2F18B5464E342,5E83356B4FAE046DB4F2F18B5464E342,item_name,装備中の魔石,حجر السحر المجهَّز,,[]
EL_62A8E4324F23C56DD6BF7899569EA6E4,62A8E4324F23C56DD6BF7899569EA6E4,item_description,"""・縦の耐久力が９０％以上の時、<img id=""""RI_ICON_WPN_BOMB""""/>のダメージが１０％上昇""","""· عندما تبلغ المتانة الرأسية ٩٠٪ أو أكثر، يزداد ضرر <img id=""""RI_ICON_WPN_BOMB""""/> بنسبة ١٠٪""",Placeholder preserved exactly.,"[""<img id=\""\""RI_ICON_WPN_BOMB\""\""/>""]"
EL_6336900244F841A7917EB5AFA3F70B0E,6336900244F841A7917EB5AFA3F70B0E,item_description,魔石をランダムに生成,توليد حجر السحر عشوائيًا,,[]
EL_765F0EF74EB3F52C46A36BBDC2C4FC37,765F0EF74EB3F52C46A36BBDC2C4FC37,skill_description,アビリティ切替ショートカット起動,تفعيل اختصار تبديل القدرات,,[]
EL_7F2D6C30451F76A1972C699C315BCE3E,7F2D6C30451F76A1972C699C315BCE3E,quest_description,ドラゴンクエストIII そして伝説へ…,Dragon Quest III: ونحو الأسطورة…,"Proper title — 'Dragon Quest III' kept as brand name, subtitle translated naturally.",[]
EL_8CCEEC704E078490B39BE5AA9EFF181C,8CCEEC704E078490B39BE5AA9EFF181C,skill_description,サポートアビリティショートカット,اختصار قدرة الدعم,,[]
EL_94CB6B4242FDAF94A47D059B9650180B,94CB6B4242FDAF94A47D059B9650180B,skill_description,・敵との接触ダメージ：なし,· الضرر عند ملامسة الأعداء: معطَّل,,[]
EL_984BECFB41B4D816D0AA8C9A82EB6BAB,984BECFB41B4D816D0AA8C9A82EB6BAB,item_name,魔石箱レベル,مستوى صندوق حجر السحر,[FIT-CHECK: short_arabic: مستوى صندوق الحجر],[]
EL_98DF8EA94868BA0B429D7C9CE8500EAF,98DF8EA94868BA0B429D7C9CE8500EAF,item_name,魔石の生成,صياغة حجر السحر,,[]
EL_996A5FD545DBEC19226211B4C67DA230,996A5FD545DBEC19226211B4C67DA230,item_name,装備中の魔石,حجر السحر المجهَّز,,[]
EL_A9_TITLE_2_NAME,A9_TITLE_2_NAME,quest_title,ドラゴンクエストI＆II,Dragon Quest I & II,Proper brand title — kept in English as internationally recognised.,[]
EL_AB23619544AC81C36AF8BE9DD146913C,AB23619544AC81C36AF8BE9DD146913C,item_name,未装備,غير مجهَّز,,[]
EL_ABFCC3EA4672D1845555E4AC4C6B8DB4,ABFCC3EA4672D1845555E4AC4C6B8DB4,skill_description,"Joshua Anderson
ABILITY,アビリティの変更、確認が行なえます,サポート","Joshua Anderson
ABILITY,يمكنك تغيير القدرات ومراجعتها,دعم",Structured metadata line — English/code parts preserved; Japanese description translated.,[]
EL_ACCE_EX_1_DESCRIPTION,ACCE_EX_1_DESCRIPTION,item_description,・アクセサリの装備枠が{Num:1}追加,· إضافة {Num:1} خانة تجهيز للإكسسوار,Placeholder {Num:1} preserved.,[]
EL_ACCE_EX_2_DESCRIPTION,ACCE_EX_2_DESCRIPTION,item_description,・アクセサリの装備枠が{Num:1}追加,· إضافة {Num:1} خانة تجهيز للإكسسوار,Placeholder {Num:1} preserved.,[]
EL_ACCESSORY_11_DESCRIPTION,ACCESSORY_11_DESCRIPTION,skill_description,・フェイの魔力の回復速度が{Num:1}％上昇,· تزداد سرعة استعادة القوة السحرية لـفاي بنسبة {Num:1}٪,Placeholder {Num:1} preserved. فاي from glossary.,[]
EL_ACCESSORY_14_DESCRIPTION,ACCESSORY_14_DESCRIPTION,skill_description,・奈落、マグマへの落下時、ダメージを受けない,· لا تتلقى ضررًا عند السقوط في الهاوية أو الحمم البركانية,,[]
EL_ACCESSORY_16C_DESCRIPTION,ACCESSORY_16C_DESCRIPTION,skill_description,・憎悪の魔獣から受けるダメージを{Num:1}％軽減,· تخفيض الضرر الوارد من الوحش السحري المكروه بنسبة {Num:1}٪,憎悪の魔獣 coined as 'الوحش السحري المكروه'; 魔獣 = الوحش السحري (glossary). {Num:1} preserved.,[]
EL_ACCESSORY_21_DESCRIPTION,ACCESSORY_21_DESCRIPTION,skill_description,・ガード成功時、ダメージを与える斬撃が発生,· عند نجاح الحراسة، يصدر ضربة قاطعة تلحق الضرر بالأعداء,,[]
EL_ACCESSORY_7_DESCRIPTION,ACCESSORY_7_DESCRIPTION,skill_description,・ガード成功時、ダメージを与えるトゲが発生,· عند نجاح الحراسة، تنبثق أشواك تلحق الضرر بالأعداء,,[]
EL_Area_ExShop_A4,Area_ExShop_A4,item_description,道具屋『オリバーとロウエルの店』,متجر الأدوات «لافتة أوليفر ورولل»,ロウエル (Rowel/Rowell) not in glossary — coined رولل. أوليفر from glossary.,[]
EL_Area_MagicShop_A1,Area_MagicShop_A1,item_description,魔石屋『ミューミュー』,متجر أحجار السحر «ميو ميو»,Shop name ミューミュー = Mew Mew using glossary: ميو.,[]
EL_Area_MagicShop_A2,Area_MagicShop_A2,item_description,魔石屋『ミューミュー』,متجر أحجار السحر «ميو ميو»,Shop name ミューミュー = Mew Mew using glossary: ميو.,[]
EL_Area_MagicShop_A3,Area_MagicShop_A3,item_description,魔石屋『ミューミュー』,متجر أحجار السحر «ميو ميو»,Shop name ミューミュー = Mew Mew using glossary: ميو.,[]
EL_Area_MagicShop_A4,Area_MagicShop_A4,item_description,魔石屋『ミューミュー』,متجر أحجار السحر «ميو ميو»,Shop name ミューミュー = Mew Mew using glossary: ميو.,[]
EL_Area_Shop_A1,Area_Shop_A1,item_description,道具屋『泉の祈り』,متجر الأدوات «صلاة النبع»,,[]
EL_Area_Shop_A2,Area_Shop_A2,item_description,道具屋『ウェイゼン百貨店』,متجر الأدوات «دار ويزن التجارية»,ウェイゼン (Weizen) coined: ويزن.,[]
EL_Area_Shop_A3,Area_Shop_A3,item_description,道具屋『マギーのよろず屋』,متجر الأدوات «دكان ماغي للكل»,マギー (Maggie) coined: ماغي.,[]
EL_Area_Shop_A4,Area_Shop_A4,item_description,道具屋『冒険の加護』,متجر الأدوات «بركة المغامرة»,加護 rendered as بركة (blessing/grace) in this shop-name context.,[]
EL_ArenaFirstReward,ArenaFirstReward,quest_title,クリア報酬,مكافأة الإنهاء,,[]
EL_ArenaFloorTargetTime,ArenaFloorTargetTime,quest_title,目標タイム,الوقت المستهدف,,[]
EL_ArenaRewardDetail,ArenaRewardDetail,quest_title,報酬詳細,تفاصيل المكافأة,,[]
EL_ARROW_EX_1_FLAVOR,ARROW_EX_1_FLAVOR,item_description,十分な矢を収納できる矢筒。\n弓を愛する冒険家に好まれる装備品。,جعبة سهام تتسع لعدد وافر من السهام.\nتجهيز يُفضّله المغامرون العاشقون للقوس.,\n preserved exactly.,"[""\\n""]"
EL_BOMB_EX_1_FLAVOR,BOMB_EX_1_FLAVOR,item_description,爆弾を持ち歩くのに便利なポーチ。\n爆弾を愛する冒険家に好まれる装備品。,حقيبة عملية لحمل القنابل في أثناء التنقل.\nتجهيز يُفضّله المغامرون العاشقون للقنابل.,\n preserved exactly.,"[""\\n""]"
EL_C1AF17FF4513A64E1480F5AB97386EEC,C1AF17FF4513A64E1480F5AB97386EEC,skill_description,サポートアビリティショートカット,اختصار قدرة الدعم,,[]
EL_CAT_TOY_3_FLAVOR,CAT_TOY_3_FLAVOR,item_description,どこの家庭にもある、ころころとよく転がる玉。\nネコちゃんには楽しい遊び道具になってしまう。,كرة تتدحرج بسلاسة توجد في كل بيت.\nتتحول بالنسبة للقطط إلى لعبة ممتعة لا تُقاوم.,\n preserved exactly.,"[""\\n""]"
EL_CommonFooterEquip,CommonFooterEquip,item_name,装備,التجهيزات,,[]
EL_CommonFooterStonePreset,CommonFooterStonePreset,item_name,魔石,حجر السحر,,[]
EL_CommonRewordDetail,CommonRewordDetail,quest_title,報酬確認,تأكيد المكافأة,,[]
EL_DDC0E3C84C26394FAB92F98EBA3571B1,DDC0E3C84C26394FAB92F98EBA3571B1,quest_description,ドラゴンクエストIII そして伝説へ…,Dragon Quest III: ونحو الأسطورة…,"Proper title — 'Dragon Quest III' kept as brand name, subtitle translated naturally.",[]
EL_DebugAchievement_SetRare5MagicStone,DebugAchievement_SetRare5MagicStone,item_description,(内部判定)究極の魔石を求めて,(حكم داخلي) بحثًا عن حجر السحر الأقصى,Debug string — internal tag translated.,[]
EL_DebugBattle_ForceCritical,DebugBattle_ForceCritical,skill_name,必ずクリティカル,حرجة دائمًا,,[]
EL_DebugBattle_NoContactDamage,DebugBattle_NoContactDamage,skill_name,接触ダメージ無効,تعطيل ضرر الملامسة,,[]
EL_DebugBattle_NoDecreaseHpEnemy,DebugBattle_NoDecreaseHpEnemy,skill_description,被ダメージ無効、敵,تعطيل الضرر الوارد — الأعداء,,[]
EL_DebugBattle_NoDecreaseHpPlayer,DebugBattle_NoDecreaseHpPlayer,skill_description,被ダメージ無効、プレイヤー,تعطيل الضرر الوارد — اللاعب,,[]
EL_DebugBattle_PercentDamageEnemy,DebugBattle_PercentDamageEnemy,skill_name,割合ダメージ、敵,ضرر نسبي — الأعداء,,[]
EL_DebugForcedTrophy_ACH_MAX_MAGIC_STONE_RANK,DebugForcedTrophy_ACH_MAX_MAGIC_STONE_RANK,item_description,魔石プロフェッサー,أستاذ أحجار السحر,,[]
EL_DebugForcedTrophy_ACH_RARE_5_MAGIC_STONE,DebugForcedTrophy_ACH_RARE_5_MAGIC_STONE,item_description,究極の魔石を求めて,بحثًا عن حجر السحر الأقصى,,[]
EL_DebugGame_ClearGetItemNums,DebugGame_ClearGetItemNums,item_description,各アイテム累計入手数を全てクリアする,إعادة تعيين العدد التراكمي للعناصر المحصَّلة لكل بند,,[]
EL_DebugGame_EditMsPiece,DebugGame_EditMsPiece,item_description,魔石の欠片所持数変更(L2/R2 ±100),تعديل عدد شظايا حجر السحر المحمولة (L2/R2 ±100),Button labels L2/R2 preserved.,[]
EL_DebugGame_UnlockMenuQuest,DebugGame_UnlockMenuQuest,quest_title,クエストメニュー開放,فتح قائمة المهام,,[]
EL_DebugLevel_ShowHideRequestor,DebugLevel_ShowHideRequestor,quest_description,非表示リクエストの状況表示,عرض حالة الطلبات المخفية,,[]
EL_DebugPlayer_PlayerFixChargeDirection,DebugPlayer_PlayerFixChargeDirection,skill_name,チャージ向き固定,تثبيت اتجاه الشحن,,[]
EL_DebugUMG_EditMagicStone,DebugUMG_EditMagicStone,item_name,魔石メニュー,قائمة أحجار السحر,,[]
EL_DebugUMG_MagicStoneLottery,DebugUMG_MagicStoneLottery,item_name,魔石ガチャ,سحب أحجار السحر,ガチャ (gacha) rendered as سحب (draw/pull).,[]
EL_DebugUMG_MemoryViewer,DebugUMG_MemoryViewer,quest_description,ストーリービューア（記憶＆クエスト）,عارض القصة (الذكريات والمهام),,[]
EL_DebugUMG_SubQuest,DebugUMG_SubQuest,quest_title,サブクエスト編集,تعديل المهام الفرعية,,[]
EL_DLC_TITLE_5_NAME,DLC_TITLE_5_NAME,item_description,エリオット旅立ちパック②：剣の魔石『攻撃力上昇』,حزمة انطلاق إليوت ②: حجر السحر للسيف «زيادة الهجوم»,② preserved. Glossary applied: إليوت، السيف، الهجوم.,[]
EL_E109055B407F8CAF6756A7938849984C,E109055B407F8CAF6756A7938849984C,skill_name,アビリティ,القدرات,,[]
EL_EA2316804EC61CBD27B355A386C4E710,EA2316804EC61CBD27B355A386C4E710,item_name,装備コストの拡張,توسيع تكلفة التجهيز,,[]
EL_EDebugMenuPage_DebugBonus,EDebugMenuPage_DebugBonus,skill_name,特典付与,منح المكافأة الخاصة,,[]
EL_F0123B8C4655AACCD3F7EFAF6FB4A748,F0123B8C4655AACCD3F7EFAF6FB4A748,skill_description,アビリティ切り替え・順送り,تبديل القدرة — تقدمي,,[]
EL_F580B0924286A55CA342B498403C6A49,F580B0924286A55CA342B498403C6A49,item_description,"""・縦の耐久力が９０％以上の時、<img id=""""RI_ICON_WPN_BOMB""""/>のダメージが１０％上昇""","""· عندما تبلغ المتانة الرأسية ٩٠٪ أو أكثر، يزداد ضرر <img id=""""RI_ICON_WPN_BOMB""""/> بنسبة ١٠٪""",Placeholder preserved exactly.,"[""<img id=\""\""RI_ICON_WPN_BOMB\""\""/>""]"
EL_FAD2B55146A960EAD69248B3E533B176,FAD2B55146A960EAD69248B3E533B176,skill_name,回復薬（小）×１,دواء الشفاء (صغير) ×١,,[]
EL_ITEM_BUFF_ATTACK_NAME,ITEM_BUFF_ATTACK_NAME,skill_description,ドロップアイテム　攻撃力バフ,عنصر مسقَط — تعزيز الهجوم,,[]
EL_ITEM_BUFF_DEFENSE_NAME,ITEM_BUFF_DEFENSE_NAME,skill_description,ドロップアイテム　防御力バフ,عنصر مسقَط — تعزيز الدفاع,,[]
EL_ITEM_CONTAINER_COOLTIME_DESCRIPTION,ITEM_CONTAINER_COOLTIME_DESCRIPTION,item_description,"""・一定時間、<img id=""""RI_ICON_BUFF_SUPPORT""""/>フェイの魔力を消費しなくなる""","""· لفترة محدودة، لا تستهلك <img id=""""RI_ICON_BUFF_SUPPORT""""/> قوة فاي السحرية""",Placeholder preserved. فاي from glossary.,"[""<img id=\""\""RI_ICON_BUFF_SUPPORT\""\""/>""]"
EL_ITEM_CONTAINER_HP_1_DESCRIPTION,ITEM_CONTAINER_HP_1_DESCRIPTION,skill_description,"""・<img id=""""RI_ICON_LIFE_FULL""""/>を{Num:1}回復""","""· يستعيد <img id=""""RI_ICON_LIFE_FULL""""/> {Num:1} من نقاط الصحة""",Placeholders preserved.,"[""<img id=\""\""RI_ICON_LIFE_FULL\""\""/>""]"
EL_ITEM_CONTAINER_HP_1_FLAVOR,ITEM_CONTAINER_HP_1_FLAVOR,skill_description,ガラス管に入れて使用する回復薬。\n冒険家になくてはならない一品。,دواء شفاء يُستخدم في أنبوب زجاجي.\nعنصر لا غنى عنه لأي مغامر.,\n preserved.,"[""\\n""]"
EL_ITEM_CONTAINER_HP_1_NAME,ITEM_CONTAINER_HP_1_NAME,skill_name,回復の薬,دواء الشفاء,,[]
EL_ITEM_CONTAINER_HP_2_DESCRIPTION,ITEM_CONTAINER_HP_2_DESCRIPTION,skill_description,"""・<img id=""""RI_ICON_LIFE_FULL""""/>を{Num:1}回復""","""· يستعيد <img id=""""RI_ICON_LIFE_FULL""""/> {Num:1} من نقاط الصحة""",Placeholders preserved.,"[""<img id=\""\""RI_ICON_LIFE_FULL\""\""/>""]"
EL_ITEM_CONTAINER_HP_2_FLAVOR,ITEM_CONTAINER_HP_2_FLAVOR,skill_description,ガラス管に入れて使用する回復薬。\n改良が加わり、さらに生命の力が回復される。,دواء شفاء يُستخدم في أنبوب زجاجي.\nمُحسَّن ليستعيد قدرًا أكبر من قوة الحياة.,\n preserved.,"[""\\n""]"
EL_ITEM_CONTAINER_HP_2_NAME,ITEM_CONTAINER_HP_2_NAME,skill_name,回復の薬（上）,دواء الشفاء (متقدم),,[]
EL_ITEM_CONTAINER_HP_3_DESCRIPTION,ITEM_CONTAINER_HP_3_DESCRIPTION,skill_description,"""・<img id=""""RI_ICON_LIFE_FULL""""/>を{Num:1}回復""","""· يستعيد <img id=""""RI_ICON_LIFE_FULL""""/> {Num:1} من نقاط الصحة""",Placeholders preserved.,"[""<img id=\""\""RI_ICON_LIFE_FULL\""\""/>""]"
EL_ITEM_CONTAINER_HP_3_FLAVOR,ITEM_CONTAINER_HP_3_FLAVOR,skill_description,ガラス管に入れて使用する回復薬。\nさらに改良が加わり、たくさん生命の力が回復される。,دواء شفاء يُستخدم في أنبوب زجاجي.\nمحسَّن بشكل أكبر، يستعيد كميات وفيرة من قوة الحياة.,\n preserved.,"[""\\n""]"
EL_ITEM_CONTAINER_HP_3_NAME,ITEM_CONTAINER_HP_3_NAME,skill_name,回復の薬（特）,دواء الشفاء (فائق),,[]
EL_ITEM_CONTAINER_HP_4_DESCRIPTION,ITEM_CONTAINER_HP_4_DESCRIPTION,skill_description,"""・<img id=""""RI_ICON_LIFE_FULL""""/>をすべて回復\n・<img id=""""RI_ICON_LIFE_FULL""""/>の上限が一時的に{Num:1}増加""","""· يستعيد جميع نقاط <img id=""""RI_ICON_LIFE_FULL""""/> الصحة\n· تزداد الحد الأقصى لـ<img id=""""RI_ICON_LIFE_FULL""""/> مؤقتًا بمقدار {Num:1}""",All placeholders and \n preserved exactly.,"[""<img id=\""\""RI_ICON_LIFE_FULL\""\""/>"", ""\\n"", ""<img id=\""\""RI_ICON_LIFE_FULL\""\""/>""]"
EL_ITEM_CONTAINER_HP_4_NAME,ITEM_CONTAINER_HP_4_NAME,skill_name,回復の薬（超絶）,دواء الشفاء (خارق),,[]
EL_ITEM_CONTAINER_STEALTH_FLAVOR,ITEM_CONTAINER_STEALTH_FLAVOR,skill_description,ガラス管に入れて使用するサポート薬。\n気配を消す効果のある不思議な実からつくられている。,دواء دعم يُستخدم في أنبوب زجاجي.\nمصنوع من ثمرة غريبة تمنح تأثير إخفاء الأثر.,\n preserved.,"[""\\n""]"
EL_ITEM_Important,ITEM_Important,item_description,"<OFF>大事なもの</>
ITEM,装備品の変更、確認が行なえます,アイテム","<OFF>أشياء مهمة</>
ITEM,يمكنك تغيير التجهيزات ومراجعتها,عناصر",Tags <OFF> and </> preserved exactly.,"[""<OFF>"", ""</>""]"
EL_ItemTextBoxMoneyMagicStoneFrag,ItemTextBoxMoneyMagicStoneFrag,item_name,魔石の欠片,شظية حجر السحر,,[]
EL_LastBattleBuff_1,LastBattleBuff_1,skill_description,ヒューリアの魔法で『継続回復』が付与！,منحت سحر هيوريا تأثير «الشفاء المستمر»!,«» used for 「」. هيوريا from glossary.,[]
EL_LastBattleBuff_2,LastBattleBuff_2,skill_description,マオの魔法で『無限オールガード』が付与！,منحت سحر ماو تأثير «الحراسة الشاملة اللانهائية»!,«» used for 「」. ماو from glossary.,[]
EL_M01_E01_3000,M01_E01_3000,quest_description,一方その頃、主人公。受けた依頼をこなそうとしていた。,في الوقت ذاته، كان البطل يسعى إلى إنجاز المهمة التي قبِلها.,Narrator caption — no speaker_gender.,[]
EL_M01_E02_1000_Title,M01_E02_1000_Title,quest_title,依頼の達成,إنجاز المهمة,,[]
EL_M01_E02_1000,M01_E02_1000,quest_title,依頼品「櫛」を見つける,إيجاد «المشط» المطلوب,「」→ «».,[]
EL_M01_E03_2000_M140_NPC4029_m,M01_E03_2000_M140_NPC4029_m,quest_description,危険な依頼をしたのに\nお礼が少なくてすまないが……,آسف لأن المكافأة قليلة…\\nرغم خطورة المهمة التي كلّفتُك بها.,speaker_gender: m — masculine NPC. \\n preserved.,"[""\\n""]"
EL_M01_E04_1000_M110_NPC0010_f,M01_E04_1000_M110_NPC0010_f,quest_description,危険な依頼です。\n無理はなさらないで。,إنها مهمة خطرة.\\nلا تُجهِد نفسك من فضلك.,"speaker_gender: f — feminine NPC, polite register. \\n preserved.","[""\\n""]"
EL_M01_E07_1100_Title,M01_E07_1100_Title,item_name,魔石の行商人,تاجر أحجار السحر المتجوّل,[FIT-CHECK: short_arabic: تاجر أحجار السحر],[]
EL_M01_E07_2100_M090_NPC4229_m,M01_E07_2100_M090_NPC4229_m,item_description,結晶化した魔力の欠片……『魔石の欠片』だ。\nいくつか集めて生成すると、『魔石』になる。,هذه شظية قوة سحرية متبلّرة… «شظية حجر السحر».\\nاجمع عددًا منها وصُغها لتحصل على «حجر السحر».,speaker_gender: m — masculine NPC. 「」→ «». \\n preserved.,"[""\\n""]"
EL_M01_E07_2100_M100_NPC4229_m,M01_E07_2100_M100_NPC4229_m,item_description,魔石は力となり、\n道を切り拓く者に祝福を与える。,يمنح حجر السحر قوةً،\\nويبارك كل من يشق طريقه إلى الأمام.,speaker_gender: m — masculine NPC. \\n preserved.,"[""\\n""]"
EL_M01_E07_2100_M150_NPC4229_m,M01_E07_2100_M150_NPC4229_m,item_description,きっと会うのは一度だけではないはずだ。\nさあ、さっそく魔石を生成していってくれ。,أنا متأكد أن لقاءنا لن يكون الأخير.\\nهيا، ابدأ بصياغة أحجار السحر الآن.,speaker_gender: m — masculine NPC. \\n preserved.,"[""\\n""]"
EL_M01_E10_1000_M130_NPC0030_m,M01_E10_1000_M130_NPC0030_m,quest_description,エリオット、よくぞ我が依頼を果たしてくれた。,إليوت، أحسنتَ في إنجاز مهمتي.,"speaker_gender: m — masculine NPC, formal register. إليوت from glossary.",[]
EL_M01_E10_1100_01,M01_E10_1100_01,quest_title,依頼を達成する,إنجاز المهمة,,[]
EL_M02_E09_1000_M200_NPC0020_m,M02_E09_1000_M200_NPC0020_m,item_description,おそらく魔法の時代……もしくは\nもっと古い時代の魔法でつくられた武具と思われます。,يبدو أن هذه الأسلحة والدروع صُنعت في عصر السحر…\\nأو ربما في حقبة أقدم من ذلك.,"speaker_gender: m — masculine NPC, scholarly tone. عصر السحر = glossary era السحر. \\n preserved.","[""\\n""]"
EL_M02_E09_1000_M240_NPC0030_m,M02_E09_1000_M240_NPC0030_m,item_description,実は、我が王家にも\n魔法の時代につくられた武具が伝わっていた。,في الواقع، كانت لدى أسرتنا المالكة أيضًا\\nأسلحة ودروع متوارَثة من عصر السحر.,"speaker_gender: m — masculine NPC, royal register. \\n preserved.","[""\\n""]"
EL_M02_E09_1000_M270_NPC0020_m,M02_E09_1000_M270_NPC0020_m,item_description,おお！\n魔法の時代の武具なら対抗できそうですね！,رائع!\\nإذا كانت من أسلحة عصر السحر فلربما نستطيع المواجهة!,"speaker_gender: m — masculine NPC, enthusiastic. \\n preserved.","[""\\n""]"
EL_M02_E11_1080_01,M02_E11_1080_01,quest_description,ネコ好きの旅人の依頼を達成する,إنجاز مهمة المسافر محب القطط,,[]
EL_M03_E01_1000_M340_NPC0110_m,M03_E01_1000_M340_NPC0110_m,item_description,へえ、魔法の時代！\nウェイゼンの防具なんて、よく手に入ったな。,واو، عصر السحر!\\nلا أصدق أنك حصلتَ على درع من ويزن.,"speaker_gender: m — masculine NPC, casual surprise. ويزن coined for ウェイゼン. \\n preserved.","[""\\n""]"
EL_M03_E01_1000_M370_NPC0110_m,M03_E01_1000_M370_NPC0110_m,item_description,すごい魔法の道具や機械を生み出してたって、\n伝わってる。,يُقال إنهم كانوا يصنعون أدواتٍ سحرية وآلاتٍ مذهلة.\\nهذا ما وصل إلينا على الأقل.,"speaker_gender: m — masculine NPC, casual storytelling. \\n preserved.","[""\\n""]"
EL_M03_E05_2000,M03_E05_2000,item_description,良研究所所長に出会う。主人公は魔法生物破壊の代償としてドールRRRの動力を探す\nキーアイテム「コンパス」を所長から入手する,يلتقي البطل بمدير المعهد. يتعهد البطل بإيجاد مصدر طاقة الدمية RRR مقابل تدمير المخلوق السحري،\\nويحصل من المدير على العنصر الرئيسي «البوصلة».,Narrator/scene note. 「」→ «». \\n preserved. RRR preserved.,"[""\\n""]"
EL_M03_E14_1000_M210_PCM000_m,M03_E14_1000_M210_PCM000_m,quest_description,行こう。\n俺たちは、無事に任務を果たしたんだ。,هيا نذهب.\\nلقد أنجزنا مهمتنا بسلام.,"speaker_gender: m — player character, masculine. \\n preserved.","[""\\n""]"
EL_M05_E05_1000_M030_NPC1040_00_m,M05_E05_1000_M030_NPC1040_00_m,skill_description,長旅で疲れてるんじゃない？\n僕が回復の魔法を使ってあげるよ。,أتعبتَك الرحلة الطويلة، أليس كذلك؟\\nدعني أستخدم سحر الشفاء من أجلك.,"speaker_gender: m — young masculine NPC, warm/casual. \\n preserved.","[""\\n""]"
EL_M05_SA1MGC_E03_5000_M020_NPC0210_f,M05_SA1MGC_E03_5000_M020_NPC0210_f,skill_description,い、今、回復の魔法を……！,أ، الآن، سحر الشفاء…!,"speaker_gender: f — feminine NPC, flustered/interrupted. Leading い stutter rendered as أ.",[]
EL_M05_SA3MGC_E01_3000_M050_PCM000_m,M05_SA3MGC_E01_3000_M050_PCM000_m,skill_description,今は先生と、マオの回復力を信じよう。,الآن علينا أن نثق بقدرة المعلم وبقوة شفاء ماو.,"speaker_gender: m — player character, masculine. ماو from glossary.",[]
EL_M06_E05_0100,M06_E05_0100,skill_description,バケネコに対してダメージを与え続けるエリオット\nバケネコはさらに魔力を強める,يواصل إليوت إلحاق الضرر بالقط المسحور\\nفيزيد القط المسحور من قوته السحرية.,Narrator caption. バケネコ coined: القط المسحور (supernatural shape-shifting cat). إليوت from glossary. \\n preserved.,"[""\\n""]"
EL_M06_E13_4000,M06_E13_4000,skill_description,主人公、城に入ると姫と学者が出迎える。姫の回復を喜び合う,عند دخول البطل إلى القلعة، تستقبله الأميرة والباحث، ويهنئون بعضهم بتعافي الأميرة.,,[]
EL_M06_E18_1400_M090_PCM000_m,M06_E18_1400_M090_PCM000_m,item_description,ここまで来れたのも、魔石の力があってこそだ。\n改めて、協力に感謝します。,ما كان لي أن أصل إلى هنا لولا قوة حجر السحر.\nأشكرك مجددًا على تعاونك.,,"[""\\n""]"
